Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg18742893__BOC	0.048764	0.39857	0.09935	0.023165	0.47725	0.049853	0.11183	0.032157	0.069315	0.06078	0.46219	0.094027	0.061946	0.04017	0.096697	0.027492	0.15682	0.15909	0.20008	0.08413	0.33594	0.073657	0.27083	0.21159	0.036891	0.040247	0.67899	0.12106	0.16094	0.16792	0.11047	0.067659
Meth__cg08431931__MGC26816	0.11229	0.084761	0.16722	0.16685	0.96307	0.14682	0.12463	0.22235	0.19591	0.18904	0.85287	0.11398	0.40836	0.68518	0.095924	0.053885	0.79324	0.80893	0.77854	0.65845	0.1839	0.96466	0.70045	0.11433	0.1576	0.81361	0.9787	0.19631	0.19718	0.20448	0.18319	0.1571
Meth__cg26833602__SUSD3	0.035428	0.36917	0.40119	0.021368	0.84301	0.030429	0.97196	0.026325	0.028006	0.13913	0.68242	0.86623	0.9435	0.9124	0.33927	0.198	0.045004	0.77556	0.025185	0.088237	0.053263	0.9575	0.9012	0.32689	0.14667	0.11336	0.48817	0.059552	0.030438	0.68625	0.040333	0.085784
RS_G10099__PTPRN2__PTPRN2	6.9326	0.095017	7.022	5.2637	0.60536	3.1299	0	0.61173	0.30912	1.3147	0.31892	0.19978	0.75979	0	0.048546	4.3741	1.4962	3.1622	8.3841	6.4687	0.89397	1.715	0	0	3.4536	0.88861	5.1409	0.22943	8.2309	2.5798	2.5044	2.1644
Meth__cg08124030__TM4SF1	0.094851	0.11456	0.24251	0.10174	0.055282	0.15708	0.056399	0.088239	0.065786	0.054996	0.12076	0.39745	0.070286	0.046814	0.16034	0.071211	0.95084	0.93904	0.32143	0.90614	0.098395	0.92625	0.13813	0.4426	0.04858	0.055241	0.33643	0.28333	0.90603	0.49976	0.12136	0.92407
Meth__cg26643856__HLA-DOA	0.48349	0.026974	0.77737	0.66865	0.11739	0.48719	0.78748	0.39578	0.31022	0.54815	0.36664	0.021483	0.1627	0.68436	0.064687	0.017583	0.23163	0.24603	0.82099	0.62537	0.11266	0.057215	0.047282	0.037677	0.14938	0.054486	0.22557	0.10966	0.70781	0.39178	0.42606	0.44354
Meth__cg19959519__NF1	0.040335	0.11284	0.05733	0.062264	0.031581	0.069555	0.058796	0.2975	0.050606	0.16366	0.074095	0.051979	0.0497	0.034535	0.062224	0.092235	0.04522	0.054881	0.04946	0.086012	0.071316	0.047725	0.039591	0.12895	0.045296	0.036734	0.039914	0.040475	0.056838	0.046934	0.098078	0.029727
Meth__cg20935106__TAPBPL	0.077072	0.20905	0.079943	0.077808	0.8081	0.20802	0.12218	0.1115	0.083575	0.077529	0.33653	0.071104	0.50585	0.066217	0.12103	0.067009	0.47766	0.097426	0.12281	0.06997	0.13294	0.13163	0.11558	0.31193	0.096406	0.40479	0.38464	0.14483	0.084577	0.34523	0.10182	0.7481
Meth__cg03565081__C14orf93	0.5648	0.25483	0.31894	0.28647	0.16453	0.58903	0.58964	0.13611	0.074692	0.41248	0.23514	0.206	0.42725	0.34852	0.15225	0.062252	0.072549	0.23644	0.70816	0.23651	0.67726	0.23807	0.15296	0.25265	0.091634	0.055094	0.31214	0.11782	0.063679	0.23948	0.32664	0.35896
RS_G2407__GALNTL1__GALNTL1	2.7185	1.4373	3.4989	3.4628	4.2839	5.3036	1.4688	2.218	0.43896	1.6141	0.38746	0.83294	2.6977	1.8837	3.2399	4.0921	5.064	2.5198	7.2783	1.3518	1.3157	3.6006	0.31102	1.5418	5.9632	0.8547	0	1.8633	1.7732	2.517	1.5756	1.8036
Meth__cg12447832__TTC15	0.079164	0.082491	0.28735	0.3429	0.085375	0.11844	0.066144	0.54447	0.079057	0.40467	0.1808	0.065125	0.10754	0.23789	0.15686	0.63098	0.081465	0.17597	0.44797	0.087192	0.21336	0.45548	0.12311	0.18601	0.11887	0.070095	0.089491	0.16662	0.10582	0.085517	0.19176	0.07706
Meth__cg16078836__MAP3K13	0.14493	0.069876	0.10805	0.085096	0.55409	0.1412	0.37718	0.069233	0.31785	0.11893	0.1294	0.067077	0.06958	0.093938	0.059042	0.10181	0.07426	0.12605	0.086696	0.076664	0.1905	0.096615	0.10091	0.059655	0.47959	0.057369	0.090909	0.082633	0.094212	0.13785	0.15932	0.10994
Meth__cg11648471__MOSPD2	0.30476	0.04654	0.055909	0.047979	0.046428	0.074224	0.067126	0.084988	0.047553	0.42549	0.14924	0.18924	0.047201	0.066966	0.14148	0.39671	0.053563	0.069268	0.14551	0.37248	0.16476	0.28049	0.3336	0.10414	0.39594	0.063362	0.045911	0.1275	0.073526	0.061732	0.48334	0.054936
Meth__cg04589904__ADRB1	0.047455	0.93216	0.068982	0.49876	0.35488	0.43703	0.043949	0.43806	0.059447	0.060245	0.67706	0.049374	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.62066	0.065403	0.11979	0.055497	0.9044	0.82007	0.075616	0.88029	0.85841	0.080198	0.0695	0.17425	0.14941	0.64277
Meth__cg09360654__MUTYH	0.13669	0.072242	0.64848	0.29374	0.07973	0.26931	0.10703	0.34488	0.065452	0.61886	0.15197	0.082192	0.12243	0.07476	0.12868	0.060982	0.12277	0.20638	0.53544	0.27596	0.16635	0.17191	0.10927	0.15336	0.061424	0.055745	0.084842	0.17645	0.1816	0.074068	0.41147	0.083874
Meth__cg15195412__CX3CL1	0.25341	0.2407	0.062495	0.17382	0.57399	0.64158	0.046389	0.063138	0.050863	0.5492	0.2807	0.15542	0.20001	0.047481	0.14462	0.086161	0.55808	0.81488	0.42256	0.34177	0.34843	0.69681	0.84531	0.1338	0.14912	0.77789	0.71326	0.51044	0.74356	0.73392	0.06583	0.5944
Meth__cg21137823__PRKCZ	0.26808	0.057186	0.26316	0.057365	0.95841	0.069993	0.11157	0.23063	0.28428	0.21045	0.15574	0.036831	0.030824	0.035256	0.036404	0.023111	0.056126	0.049195	0.10332	0.047134	0.48588	0.070507	0.1075	0.088788	0.10294	0.041261	0.036164	0.17245	0.037109	0.042193	0.16444	0.042523
Meth__cg25912611__STK6	0.092496	0.048683	0.10033	0.26573	0.15684	0.79946	0.28236	0.3499	0.096405	0.38866	0.142	0.71766	0.15422	0.1028	0.16417	0.12542	0.071248	0.091432	0.098318	0.096201	0.19509	0.28286	0.10009	0.079354	0.37039	0.063735	0.20694	0.12297	0.79417	0.094997	0.26453	0.058698
Meth__cg03167275__CXADR	0.054828	0.066197	0.052805	0.29368	0.086342	0.079974	0.077376	0.44429	0.096213	0.067061	0.092291	0.043455	0.067486	0.062356	0.073852	0.59917	0.10243	0.19546	0.16075	0.074668	0.14597	0.043237	0.083742	0.081477	0.07698	0.046956	0.043437	0.07334	0.064317	0.039805	0.11203	0.055588
Meth__cg09600437__REL	0.066118	0.063376	0.067915	0.049104	0.052003	0.062633	0.060062	0.07132	0.061311	0.064852	0.10822	0.043124	0.058581	0.046577	0.058902	0.054601	0.043259	0.045819	0.6381	0.048436	0.16277	0.056399	0.18619	0.070489	0.050764	0.041328	0.050655	0.13737	0.058058	0.054831	0.11299	0.046038
Meth__cg26530341__TNFRSF10A	0.75204	0.044519	0.73686	0.87272	0.93805	0.6628	0.059584	0.07739	0.06511	0.26655	0.084498	0.049957	0.6703	0.16649	0.10845	0.94682	0.057085	0.10204	0.89944	0.93152	0.30813	0.07967	0.086227	0.09589	0.63392	0.044356	0.054719	0.18824	0.055101	0.36374	0.14189	0.77654
Meth__cg15410903__GSTO2	0.048314	0.034545	0.044874	0.029777	0.034373	0.050244	0.04085	0.030299	0.037359	0.04295	0.02905	0.019192	0.026101	0.03329	0.081253	0.96044	0.022114	0.036295	0.030858	0.025434	0.06643	0.038743	0.10586	0.043183	0.62545	0.028483	0.020755	0.10372	0.034006	0.031784	0.083145	0.063944
Meth__cg19141563__PPM1E	0.046289	0.037314	0.16987	0.028849	0.45797	0.041508	0.056011	0.033539	0.053478	0.0422	0.12901	0.35537	0.034916	0.044916	0.1407	0.045642	0.56862	0.42583	0.031113	0.31318	0.11649	0.058651	0.51725	0.12538	0.030062	0.037121	0.49711	0.11641	0.058699	0.035246	0.41101	0.051135
Meth__cg00047050__CUL5	0.092269	0.057714	0.44268	0.25242	0.068272	0.10797	0.19343	0.078839	0.049287	0.17286	0.087833	0.23708	0.075434	0.05739	0.16017	0.032915	0.066264	0.080443	0.18814	0.088729	0.14348	0.061065	0.09455	0.12433	0.033899	0.049064	0.068864	0.062553	0.068174	0.07166	0.17879	0.087823
RS_G18031__TMSL6__TMSL6	0	0	5.3769	3.5919	1.2595	4.1525	3.8803	0	0	4.6119	0	4.331	0	4.0854	1.821	3.5816	0	4.698	2.7225	0	0	1.2082	0	0	0	0	0	0	1.5283	0	6.388	0
Meth__cg25811575__EGR3	0.051364	0.40138	0.068503	0.059611	0.13782	0.074175	0.052141	0.061748	0.53387	0.043787	0.7944	0.066857	0.22065	0.079749	0.095893	0.07215	0.048956	0.050976	0.062497	0.078294	0.098989	0.063081	0.91116	0.23253	0.083038	0.41508	0.92618	0.11055	0.050224	0.14089	0.16304	0.05699
Meth__cg05677402__UBE2L6	0.03114	0.65472	0.96997	0.020964	0.44437	0.022308	0.017753	0.025652	0.020637	0.01437	0.046187	0.019694	0.49791	0.026569	0.063647	0.016515	0.048202	0.19931	0.018688	0.038819	0.070125	0.27073	0.046394	0.42333	0.024494	0.026142	0.017814	0.048953	0.02274	0.43695	0.055653	0.75832
Meth__cg02940164__FRAG1	0.022063	0.019783	0.01976	0.023682	0.030165	0.021235	0.054227	0.032984	0.02267	0.046517	0.028862	0.016881	0.021304	0.021515	0.041117	0.34428	0.025183	0.023347	0.062352	0.021148	0.040636	0.039338	0.03706	0.042004	0.11383	0.019592	0.017704	0.06782	0.024997	0.023132	0.082412	0.02827
Meth__cg11490446__PSEN1	0.037896	0.021383	0.061765	0.043781	0.23366	0.038164	0.32324	0.037423	0.025894	0.10503	0.039048	0.019915	0.027378	0.024574	0.038183	0.030983	0.016902	0.031571	0.046477	0.019262	0.41822	0.040075	0.029799	0.054529	0.026187	0.022513	0.042352	0.047806	0.025453	0.037003	0.041779	0.062268
Meth__cg08800033__CETN2	0.57626	0.09642	0.14304	0.19934	0.044644	0.12809	0.69356	0.097967	0.13646	0.33611	0.21063	0.059097	0.257	0.34402	0.101	0.14213	0.083447	0.074895	0.48397	0.38961	0.13421	0.074832	0.27839	0.28211	0.43589	0.05696	0.12612	0.27883	0.66982	0.26299	0.32464	0.12634
Meth__cg13905388__CDCA4	0.10255	0.077292	0.11657	0.061063	0.10533	0.12832	0.74455	0.099053	0.12982	0.19693	0.12244	0.071729	0.13941	0.08441	0.13153	0.12389	0.075459	0.1006	0.11992	0.086317	0.15595	0.1056	0.1117	0.095718	0.11265	0.084808	0.06315	0.17311	0.11334	0.093197	0.14704	0.11071
Meth__cg20877313__GLS2	0.031986	0.37903	0.037527	0.024241	0.75943	0.030338	0.040941	0.027957	0.97264	0.066679	0.095578	0.032976	0.92728	0.097449	0.030751	0.029276	0.96527	0.8443	0.030161	0.022067	0.62196	0.68387	0.03805	0.22582	0.16503	0.025537	0.87886	0.4706	0.031298	0.055784	0.0668	0.032912
Meth__cg23927367__ACAD8	0.061598	0.030803	0.070396	0.037809	0.039697	0.076247	0.18158	0.046276	0.063709	0.071013	0.13182	0.037609	0.045144	0.066589	0.079336	0.07184	0.056205	0.059705	0.068292	0.039274	0.19556	0.049323	0.080702	0.070903	0.052531	0.047208	0.041094	0.049581	0.048198	0.060556	0.14532	0.054188
Meth__cg15746445__TRPM8	0.52641	0.058123	0.8337	0.43087	0.082261	0.65803	0.91442	0.078028	0.09662	0.69966	0.62958	0.17256	0.12248	0.26194	0.13919	0.16532	0.070709	0.096798	0.12908	0.91644	0.42998	0.11328	0.37978	0.13616	0.45305	0.28623	0.10046	0.19555	0.85175	0.44641	0.78015	0.17042
Meth__cg00513467__KLHL9	0.10652	0.061969	0.11533	0.071286	0.060559	0.08204	0.08023	0.066062	0.063381	0.089901	0.10493	0.044362	0.062686	0.077352	0.11599	0.063809	0.078778	0.079178	0.10135	0.051561	0.57889	0.088019	0.19628	0.058726	0.06986	0.050793	0.054267	0.13298	0.075996	0.077366	0.089609	0.062193
RS_G11101__FAM5C__FAM5C	0.21266	3.6632	2.4902	0.60928	0	0.91414	0	0	0	0	0	5.7033	1.0654	0.72076	4.5769	1.4133	3.7182	0.61657	0	2.7863	0	6.0253	7.372	0.68983	0	0	0.90882	0	6.6578	9.1072	1.1084	8.0858
Meth__cg04763192__C1orf88	0.020002	0.025397	0.33628	0.029678	0.80139	0.019258	0.02539	0.023751	0.13792	0.035446	0.81154	0.025101	0.32254	0.02105	0.024017	0.018684	0.047207	0.025486	0.024993	0.034691	0.42885	0.028668	0.15254	0.030286	0.02712	0.033952	0.90705	0.04226	0.034376	0.056205	0.033972	0.8138
Meth__cg04924696__FLJ25444	0.58436	0.11332	0.056898	0.42771	0.036953	0.049681	0.060976	0.39799	0.061011	0.65775	0.41545	0.53831	0.043377	0.053829	0.50999	0.637	0.042534	0.05544	0.59847	0.53164	0.085144	0.52337	0.53162	0.51602	0.57369	0.048807	0.025531	0.21072	0.52285	0.43524	0.65246	0.050263
Meth__cg05997860__ADAM21	0.23264	0.034324	0.67978	0.50797	0.057585	0.36837	0.78136	0.080261	0.16681	0.2504	0.21527	0.10846	0.20881	0.4499	0.053191	0.062792	0.1216	0.19866	0.78004	0.76245	0.10979	0.21511	0.07838	0.12316	0.28709	0.042182	0.38118	0.14421	0.19574	0.43065	0.52163	0.30075
RS_G692__DKK3__DKK3	0.44322	0	0	0.54068	8.236	0.18041	2.3601	0.99415	0	1.443	0.084903	0.33102	3.855	7.9864	1.2245	6.1166	0.81839	0	5.6363	1.0711	3.1985	0	0.7714	0	6.645	0.60379	0	0	0	0	0.45814	0
Meth__cg21667836__PRMT8	0.54707	0.098208	0.92141	0.91192	0.74081	0.84307	0.87309	0.9067	0.37704	0.51733	0.54283	0.11111	0.65346	0.11517	0.16733	0.10683	0.26132	0.79399	0.92433	0.93498	0.23677	0.16909	0.13846	0.14079	0.33571	0.091421	0.81	0.19308	0.8697	0.35864	0.37017	0.29086
Meth__cg09870606__GLG1	0.13045	0.080949	0.34278	0.18818	0.099927	0.18258	0.098138	0.374	0.11863	0.13169	0.23763	0.086454	0.11495	0.10557	0.11923	0.10173	0.12149	0.11774	0.72046	0.091373	0.15275	0.15061	0.13702	0.20297	0.073864	0.094824	0.097942	0.097418	0.11654	0.098542	0.22585	0.16468
Meth__cg01043330__RIC3	0.78485	0.062451	0.49168	0.30708	0.2426	0.27622	0.18499	0.51471	0.057691	0.53948	0.44023	0.065838	0.53838	0.077662	0.13031	0.055902	0.10904	0.14578	0.44124	0.5172	0.20925	0.13538	0.24089	0.12409	0.13134	0.12184	0.16111	0.11975	0.087327	0.30688	0.15096	0.32526
RS_G8225__CDH13__CDH13	0.79371	0.54616	4.3057	2.2989	0	3.2813	5.2934	0.51797	0.12838	4.6694	1.2336	0.86509	2.239	0	0.35424	8.3387	0.63373	1.9025	0.76194	1.4519	0.13405	2.5283	1.2137	0.18413	5.866	6.0349	3.0674	2.5252	0.86606	0.7379	2.4613	0.46187
Meth__cg14894216__CATSPER1	0.22781	0.10667	0.76334	0.42162	0.095629	0.31169	0.47553	0.14807	0.28099	0.53892	0.44097	0.092901	0.55625	0.10633	0.23094	0.11407	0.5594	0.23439	0.36617	0.80384	0.83939	0.11046	0.13832	0.15314	0.11629	0.054128	0.22973	0.13015	0.14059	0.09937	0.16053	0.10644
Meth__cg01204439__TPK1	0.13737	0.30036	0.16884	0.1925	0.30026	0.28436	0.087485	0.33297	0.092113	0.35588	0.11811	0.2736	0.068748	0.20642	0.096802	0.36589	0.080976	0.05101	0.38653	0.059586	0.36123	0.097282	0.13529	0.34384	0.29834	0.28917	0.05436	0.33028	0.054638	0.12898	0.06396	0.19035
Meth__cg06872331__STEAP3	0.055463	0.048588	0.080631	0.20717	0.18236	0.5884	0.30556	0.06621	0.059154	0.060682	0.079726	0.037245	0.053858	0.043869	0.1739	0.042064	0.030782	0.14545	0.18427	0.10824	0.1833	0.16269	0.095723	0.079255	0.063219	0.043865	0.044888	0.13925	0.065984	0.05296	0.17604	0.057396
Meth__cg25133753__WFDC11	0.35124	0.088457	0.29844	0.10828	0.046339	0.30344	0.13235	0.11388	0.073822	0.13209	0.21776	0.12103	0.11607	0.079781	0.081174	0.074145	0.096061	0.21508	0.84965	0.58717	0.13615	0.12273	0.071499	0.087372	0.086688	0.06965	0.055373	0.30782	0.16347	0.1074	0.2091	0.098709
Meth__cg04222374__CXorf40A	0.63178	0.035259	0.031529	0.49776	0.031079	0.035887	0.65225	0.60888	0.035676	0.053147	0.06765	0.53118	0.55581	0.62658	0.20033	0.032793	0.030818	0.031528	0.60129	0.54154	0.11481	0.035917	0.35101	0.029213	0.55534	0.030697	0.030717	0.10547	0.61812	0.49971	0.62269	0.031583
RS_G7670__DDX60__DDX60	3.8387	0.32032	2.7237	6.0772	1.8134	2.4436	2.2916	2.325	7.7036	6.1506	3.5657	4.5014	1.0877	3.1529	7.8636	1.6225	1.3036	1.3175	5.3043	0.698	3.1707	0.73398	0.62401	0	0.73295	3.8316	2.1658	1.8779	1.3425	1.1743	3.1564	0.43139
RS_G180__MATK__MATK	0.50499	0.41669	2.383	0	0.79262	0	6.2572	0	4.6248	0	3.3626	0.36849	5.2526	2.0979	0	0	7.4683	5.5238	0	4.5215	0	4.2111	0	0	3.9548	8.2368	0	0	2.9773	0.71016	0	6.8048
Meth__cg03813215__BCL2	0.063528	0.072214	0.062862	0.05775	0.068879	0.066348	0.044144	0.064886	0.078947	0.10498	0.10644	0.57853	0.060973	0.07669	0.17519	0.06598	0.061609	0.08945	0.060274	0.081612	0.16059	0.076128	0.56784	0.10098	0.076238	0.067404	0.073365	0.14772	0.076435	0.065989	0.1142	0.076726
Meth__cg06493994__SCGN	0.91357	0.0307	0.9316	0.065241	0.8153	0.84913	0.33293	0.27865	0.71426	0.13684	0.2835	0.023651	0.036276	0.39878	0.13622	0.85946	0.3349	0.61399	0.41792	0.026431	0.884	0.46945	0.87355	0.17172	0.091515	0.071482	0.082377	0.07033	0.076686	0.13346	0.07246	0.045216
Meth__cg12936220__RPL26L1	0.035328	0.023093	0.46603	0.08962	0.31233	0.58033	0.62399	0.27379	0.069872	0.17889	0.3635	0.051529	0.083364	0.35633	0.41033	0.92704	0.059726	0.032427	0.38647	0.056032	0.049548	0.038371	0.072628	0.038018	0.1816	0.06003	0.02956	0.045943	0.030024	0.82511	0.11062	0.67378
Meth__cg19963797__GLT28D1	0.039963	0.026423	0.046532	0.56138	0.030446	0.042169	0.75291	0.80261	0.026449	0.044051	0.052625	0.020391	0.60769	0.71629	0.32057	0.02681	0.020911	0.049884	0.7029	0.65681	0.058102	0.04879	0.56054	0.035501	0.73186	0.028166	0.51646	0.078285	0.022337	0.029715	0.68733	0.033673
Meth__cg09144786__WDR44	0.51967	0.02225	0.039478	0.030809	0.032003	0.038829	0.48705	0.084318	0.030546	0.046722	0.067029	0.036569	0.041792	0.20741	0.035555	0.034247	0.020313	0.034219	0.24448	0.19471	0.048313	0.040349	0.059605	0.053143	0.36971	0.026088	0.11935	0.11221	0.12838	0.026035	0.47399	0.038709
Meth__cg13183496__CXorf17	0.37856	0.037154	0.056797	0.18294	0.040589	0.076562	0.069891	0.30607	0.056912	0.33009	0.28502	0.057132	0.44968	0.037668	0.32402	0.095339	0.056027	0.056372	0.36624	0.28659	0.15117	0.26304	0.42698	0.16336	0.36948	0.037786	0.060193	0.059892	0.28978	0.11117	0.3805	0.053608
Meth__cg09229960__EMD	0.66903	0.031925	0.051031	0.62328	0.017799	0.036934	0.54629	0.73133	0.040569	0.06439	0.066885	0.022903	0.59026	0.58122	0.14771	0.031828	0.025087	0.030224	0.68956	0.62563	0.056249	0.028426	0.33743	0.043989	0.68559	0.014	0.32617	0.14551	0.78475	0.5802	0.62394	0.029824
Meth__cg25681177__GAPDHS	0.86922	0.035781	0.7624	0.67321	0.073626	0.66002	0.54981	0.75298	0.25316	0.59743	0.50738	0.55088	0.46011	0.39201	0.055809	0.020322	0.7453	0.36131	0.93176	0.45383	0.44287	0.67222	0.38954	0.052058	0.045291	0.088317	0.3732	0.092973	0.080932	0.38612	0.37392	0.34061
Meth__cg16793061__EYA1	0.056042	0.033111	0.049565	0.10436	0.036777	0.044101	0.6036	0.03277	0.038687	0.50381	0.30888	0.083299	0.069727	0.026656	0.097199	0.57126	0.04722	0.046061	0.90088	0.025862	0.54783	0.042499	0.054935	0.13295	0.040263	0.029688	0.50208	0.50106	0.053812	0.045076	0.23198	0.039625
Meth__cg18979491__LBP	0.17217	0.048797	0.51741	0.26538	0.088703	0.3393	0.62216	0.24355	0.24041	0.75264	0.43094	0.0578	0.16653	0.34546	0.13072	0.06592	0.27966	0.24283	0.89415	0.17369	0.072552	0.20113	0.11815	0.064395	0.13314	0.061055	0.12134	0.053702	0.2705	0.15196	0.12079	0.097749
Meth__cg22477971__C1QB	0.66867	0.042449	0.58753	0.35406	0.055725	0.27506	0.509	0.09166	0.092337	0.26225	0.63026	0.056075	0.48365	0.47889	0.14958	0.058087	0.24202	0.24173	0.90206	0.37689	0.10715	0.21514	0.096581	0.090375	0.25924	0.056673	0.56406	0.12232	0.10687	0.11169	0.44874	0.079979
Meth__cg04435420__SGCD	0.94967	0.011841	0.95624	0.42174	0.5429	0.93195	0.3897	0.3225	0.4962	0.24807	0.25358	0.038939	0.044707	0.073266	0.046859	0.015378	0.2298	0.20578	0.95163	0.9686	0.5343	0.091122	0.89406	0.023639	0.79482	0.086961	0.65412	0.040439	0.11009	0.79907	0.58377	0.90992
Meth__cg13494498__TUBB3	0.046872	0.13336	0.047158	0.036153	0.038025	0.069223	0.031616	0.049614	0.038625	0.24397	0.46106	0.19644	0.21324	0.032626	0.10957	0.028996	0.073983	0.054421	0.036953	0.32402	0.087656	0.13555	0.88061	0.14434	0.032822	0.033874	0.43272	0.79955	0.08083	0.33456	0.87256	0.034195
Meth__cg19937039__SERPINA10	0.64774	0.042989	0.78556	0.46636	0.098803	0.4085	0.93283	0.14964	0.53551	0.44723	0.56938	0.060902	0.36016	0.87777	0.12491	0.15	0.22955	0.20259	0.92133	0.73609	0.11139	0.21542	0.10148	0.08529	0.72054	0.066276	0.33286	0.53932	0.67268	0.21574	0.27729	0.14878
RS_G8360__GRB7__GRB7	8.0056	12.1647	10.381	7.194	0.81984	5.4189	6.1071	5.7069	12.2019	5.5994	12.9359	10.3673	7.5671	0.68484	7.2676	0.69935	6.6271	5.5221	6.5424	7.9202	4.3394	9.092	9.3835	11.2459	0	5.772	7.0799	6.8735	11.3881	7.0867	10.7332	7.2831
Meth__cg00466249__MGC15523	0.092023	0.065303	0.071753	0.15167	0.76543	0.1075	0.35207	0.20109	0.10238	0.63695	0.43023	0.050742	0.36145	0.24243	0.083399	0.89086	0.044207	0.068353	0.41842	0.20009	0.25636	0.06278	0.10094	0.12175	0.32064	0.047963	0.53721	0.19014	0.32812	0.086398	0.34859	0.070755
RS_G7254__AC021066.37__AC021066.37	8.1194	8.0151	1.9938	1.7593	0	1.8586	2.6817	3.8582	8.4794	5.2308	5.7233	4.4262	7.9259	1.4142	2.5484	0.25763	5.3005	1.7531	0.90338	4.226	0.40172	4.3953	1.5203	6.4764	0	10.2525	7.9921	3.4039	4.1756	1.157	2.4781	2.2421
Meth__cg05467918__ACADM	0.038137	0.032348	0.06965	0.51156	0.035052	0.4533	0.46416	0.040211	0.087952	0.13516	0.072279	0.028835	0.037122	0.021029	0.10566	0.034026	0.037496	0.028927	0.068932	0.49609	0.12613	0.054461	0.12096	0.050754	0.047844	0.44863	0.013263	0.067899	0.045455	0.033531	0.071816	0.038467
Meth__cg08300622__SCML2	0.5394	0.12846	0.12808	0.39913	0.045729	0.095973	0.063393	0.60997	0.055903	0.37315	0.43248	0.44555	0.050098	0.076931	0.41986	0.31721	0.054774	0.092505	0.60128	0.48863	0.12461	0.40911	0.40703	0.47735	0.49243	0.054874	0.066801	0.084811	0.38717	0.32803	0.61566	0.065877
Meth__cg06289589__ANKRD5	0.055148	0.04222	0.10921	0.11104	0.061148	0.056877	0.070496	0.58131	0.047631	0.15043	0.11932	0.034776	0.14771	0.048174	0.064065	0.077742	0.061756	0.059032	0.075895	0.040401	0.097728	0.061459	0.058419	0.099851	0.054174	0.044927	0.061737	0.11787	0.054855	0.063139	0.13868	0.10225
Meth__cg21747271__AIP	0.16525	0.075618	0.43099	0.62178	0.43037	0.72878	0.19649	0.73957	0.12801	0.30727	0.13585	0.50999	0.087607	0.09655	0.11617	0.44654	0.37825	0.15991	0.71807	0.11539	0.17946	0.18132	0.29234	0.082703	0.0504	0.067857	0.55293	0.399	0.073323	0.21313	0.41832	0.63078
Meth__cg02067021__DNAJC5B	0.028909	0.026682	0.034316	0.10982	0.41566	0.02546	0.91101	0.21216	0.52697	0.82479	0.072321	0.023407	0.31178	0.37539	0.045791	0.88515	0.12727	0.093623	0.65658	0.020805	0.9329	0.028769	0.029474	0.036055	0.39376	0.13701	0.035141	0.038767	0.065511	0.029191	0.055728	0.025946
Meth__cg03642357__ADRBK2	0.12388	0.093804	0.90915	0.86367	0.16574	0.37308	0.28483	0.31027	0.12878	0.23859	0.48324	0.60485	0.24591	0.084798	0.15666	0.36927	0.22967	0.13031	0.70283	0.1885	0.69821	0.1961	0.35214	0.12976	0.11381	0.10818	0.80096	0.20582	0.19361	0.16973	0.34727	0.8541
Meth__cg17327492__FSHR	0.85778	0.073968	0.87912	0.71675	0.089003	0.83817	0.84821	0.28692	0.68529	0.093849	0.32314	0.7453	0.35796	0.83475	0.38181	0.13535	0.061077	0.09776	0.87542	0.8498	0.092186	0.49684	0.55206	0.12072	0.85142	0.81418	0.098994	0.19494	0.084184	0.53933	0.59817	0.50964
Meth__cg23652631__SPATA1	0.043695	0.031699	0.052689	0.044969	0.037999	0.10383	0.09725	0.056939	0.053471	0.56081	0.09493	0.042941	0.035719	0.03562	0.071814	0.10697	0.067517	0.040579	0.10329	0.065358	0.082831	0.057023	0.081725	0.042417	0.045494	0.039989	0.046796	0.12545	0.069976	0.063468	0.067436	0.060888
Meth__cg06521852__HRIHFB2122	0.071962	0.026488	0.047966	0.1164	0.11228	0.068998	0.069883	0.054447	0.026325	0.16029	0.088073	0.05518	0.054789	0.057365	0.11974	0.12541	0.032592	0.051818	0.05353	0.025508	0.059372	0.042407	0.064038	0.062873	0.028219	0.033787	0.022489	0.086798	0.062103	0.045559	0.13281	0.036834
Meth__cg02564733__ADAMTS15	0.079288	0.065587	0.08662	0.051519	0.47138	0.078178	0.10728	0.064974	0.85227	0.13273	0.16692	0.13879	0.059785	0.15305	0.17559	0.050582	0.57179	0.44276	0.053743	0.053817	0.6149	0.085948	0.37908	0.19585	0.075933	0.16583	0.2622	0.11941	0.063227	0.067932	0.099547	0.064215
Meth__cg07640820__MULK	0.071734	0.031152	0.23708	0.16595	0.054316	0.10863	0.077186	0.064645	0.04634	0.21038	0.10932	0.069867	0.049397	0.065653	0.12772	0.062798	0.1439	0.075331	0.43628	0.058834	0.31075	0.23107	0.076998	0.072826	0.047124	0.051017	0.074639	0.24736	0.078054	0.051993	0.37503	0.060793
