Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg15195412__CX3CL1	0.25341	0.2407	0.062495	0.17382	0.57399	0.64158	0.046389	0.063138	0.050863	0.5492	0.2807	0.20001	0.047481	0.14462	0.086161	0.55808	0.81488	0.42256	0.34177	0.34843	0.69681	0.84531	0.14912	0.77789	0.055085	0.71326	0.51044	0.74356	0.73392	0.5944
RS_G12878__KLK7__KLK7	0.43855	0	0.13593	1.9992	0.11677	0.12675	2.968	2.2202	1.3488	6.8763	5.6672	5.4814	0	2.4911	0.14189	0.2323	0.1255	0	5.034	0.22201	0.12111	0.41216	0.22455	0.24511	8.0034	3.7048	0.50406	0.37498	2.2158	0.33096
Meth__cg02254649__ENAH	0.031341	0.029002	0.037546	0.033182	0.038513	0.03733	0.023571	0.046372	0.029262	0.032928	0.073296	0.034641	0.031781	0.062539	0.039039	0.034842	0.035313	0.040311	0.029388	0.099987	0.035424	0.33036	0.046517	0.026717	0.032915	0.034385	0.061919	0.042938	0.034346	0.035765
RS_G802__LAMC2__LAMC2	7.8004	1.3479	2.8528	5.2033	1.2503	0	9.9091	1.8877	2.4189	10.1862	2.1806	9.101	4.8812	8.625	4.9635	4.5273	2.5351	2.5013	7.2518	6.7557	4.1532	3.7465	1.5224	8.3867	6.5568	0.69749	5.7706	5.35	3.5768	2.2536
Meth__cg18943383__HIST1H3H	0.12718	0.0914	0.11387	0.62476	0.079365	0.11715	0.16906	0.13173	0.93084	0.25327	0.17105	0.084561	0.11464	0.17059	0.082599	0.13001	0.13027	0.1229	0.95006	0.47925	0.14978	0.14887	0.037566	0.087295	0.67021	0.9567	0.26464	0.1347	0.18533	0.18274
Meth__cg14598387__OR1N1	0.37592	0.043395	0.68965	0.1336	0.030203	0.19357	0.60861	0.034598	0.21752	0.19306	0.14921	0.072892	0.077477	0.041537	0.039569	0.043319	0.060324	0.61344	0.18665	0.044871	0.12951	0.21081	0.034736	0.048804	0.030711	0.064887	0.10691	0.090808	0.071598	0.10447
RS_G7879__HERC5__HERC5	2.3699	0	1.1018	4.8412	0.14696	1.4218	4.5886	1.1983	8.0916	5.6631	4.4059	2.964	4.5001	7.8085	0.083816	0.81141	0.62941	3.1466	1.6248	5.3756	0.78169	0	3.9803	3.3359	4.2521	2.1255	1.4633	1.096	0.70351	0.21229
Meth__cg17665193__GAD2	0.071861	0.026383	0.69791	0.92351	0.087782	0.12247	0.17209	0.037637	0.40791	0.24193	0.13045	0.29381	0.13089	0.025253	0.021925	0.098021	0.11009	0.062576	0.45551	0.083913	0.46901	0.079766	0.028264	0.17379	0.040145	0.034806	0.074791	0.034062	0.037087	0.071497
Meth__cg09896445__GPC5	0.052953	0.07502	0.062014	0.042911	0.66027	0.59354	0.050423	0.089186	0.11321	0.072314	0.71434	0.074205	0.083188	0.10063	0.2443	0.09706	0.079939	0.085559	0.043438	0.11976	0.09701	0.80108	0.055796	0.077021	0.038416	0.12872	0.12806	0.034884	0.07458	0.059226
Meth__cg21134096__RHEB	0.0591	0.80409	0.25685	0.050213	0.38983	0.59127	0.045855	0.099249	0.04698	0.095693	0.56663	0.092021	0.055991	0.092595	0.062429	0.63158	0.63018	0.23865	0.057073	0.090781	0.87607	0.084052	0.043105	0.059249	0.042279	0.13086	0.16298	0.087719	0.059569	0.50062
Meth__cg07753583__LRRC61	0.061933	0.24376	0.076771	0.045369	0.86105	0.063376	0.058662	0.069167	0.071677	0.033169	0.5032	0.53293	0.063067	0.14303	0.44343	0.048157	0.062882	0.060432	0.042142	0.39909	0.069845	0.14899	0.4939	0.50786	0.042795	0.050322	0.088547	0.050179	0.051941	0.056229
Meth__cg25169784__UGCGL2	0.024749	0.026528	0.038976	0.039471	0.24422	0.08753	0.025847	0.05286	0.059283	0.01576	0.0699	0.025728	0.030752	0.050531	0.026184	0.042483	0.061417	0.053751	0.0283	0.090623	0.038228	0.14064	0.028363	0.028502	0.022568	0.067982	0.038715	0.061668	0.039259	0.039962
RS_G7225__ELF5__ELF5	0.37677	4.5885	6.4031	6.512	0	1.9674	2.4337	7.078	1.1045	4.7027	0	4.5554	0	0.48747	0.22762	4.5813	5.0972	0	4.8163	0	4.3672	0	0.35445	0	6.0937	3.5985	7.932	5.3364	0.5172	4.9835
RS_G6638__PPP1R1B__PPP1R1B	9.1888	7.6126	4.4299	3.4995	0.23954	0.35988	1.8579	0.7143	13.4847	4.3668	6.14	6.6736	0.53447	6.17	0.79314	2.1675	0	6.2008	7.1262	0	5.8269	0	0.59718	2.5011	7.2683	2.5734	1.9065	6.5712	1.0367	0
RS_G10182__RAET1L__RAET1L	1.0118	0	0	0	0	1.1137	6.6474	0	4.4844	4.3745	3.1156	2.746	0.18758	2.7756	0	3.3395	0.36247	0	4.021	0.84948	0.5551	0	0	0	5.2648	3.3268	3.0632	0	0	0.50194
RS_G2255__SLC5A1__SLC5A1	7.3639	0.18874	0	0	0	0	7.3973	0	3.7281	3.9327	4.9666	2.8481	0	6.8247	0	0	0	0.79107	3.7325	0	0.37256	0	0	0	6.317	0	0.23941	0.14429	0	0.29703
Meth__cg01425670__NEGR1	0.028258	0.02896	0.021501	0.023608	0.026244	0.032371	0.017337	0.033206	0.028958	0.041256	0.28317	0.029169	0.024043	0.1671	0.018482	0.17069	0.11758	0.040155	0.019177	0.067799	0.032148	0.30398	0.022931	0.02275	0.020233	0.34749	0.05221	0.032255	0.029873	0.033632
Meth__cg07113600__KLF12	0.043766	0.042694	0.03907	0.033096	0.033438	0.038407	0.03042	0.053299	0.057156	0.046677	0.073524	0.049115	0.060873	0.096342	0.063065	0.068184	0.052799	0.04778	0.032323	0.11875	0.054296	0.094291	0.043689	0.033169	0.037589	0.10059	0.075202	0.038605	0.51734	0.72377
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	8.7856	8.1977	6.2577	5.6096	5.7509	6.7727	5.928	3.3836	5.4681	6.386	10.7433	6.6273	5.9329	7.033	5.945	2.8408	4.7669	11.4127	7.8875	7.9949	6.493	9.2453	8.7531
RS_G10396__MX1__MX1	5.0317	2.1882	2.341	9.7474	1.2107	2.9127	0.58267	6.108	12.6076	8.2993	1.5829	0.13769	5.2771	11.1388	0.88359	4.0943	2.2	2.5585	4.8037	2.0846	2.1457	2.1832	2.5812	8.0306	10.2882	3.8153	7.6903	4.3967	2.718	0.84851
RS_G15368__ALOX15B__ALOX15B	6.267	0.76521	8.3802	0.43858	0	0.1018	0	0	0.53507	3.3004	0	1.1668	0	0	0.40577	0.57653	0.51444	0	2.0532	0	9.3899	0.32731	0	0.36847	9.9516	1.0126	0.85647	1.2809	1.6533	0.39036
Meth__cg11719157__PITPNA	0.089367	0.080186	0.08956	0.074867	0.70041	0.52573	0.17793	0.096133	0.060399	0.29248	0.39681	0.69398	0.2571	0.098322	0.47428	0.34439	0.42686	0.63727	0.19315	0.60882	0.68938	0.13393	0.24373	0.070171	0.073203	0.57863	0.53847	0.12652	0.14663	0.43009
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	1.5633	7.4403	5.9323	4.8405	5.9809	4.172	7.2064	3.6636	0.63589	2.0915	3.3694	6.6362	2.4972	2.1318	2.6079	6.2562	1.5369	5.9749	1.1558	2.2516	3.1047	1.3846	2.7746
RS_G7642__TLR2__TLR2	2.5793	0.14593	0.67119	2.3389	0	0.88694	1.7219	0.22213	6.8794	3.5507	0.63858	0	0.71287	4.8139	0	0.30188	1.4172	0	0.25529	0	0.83802	0.28381	0	4.1149	3.9822	0	0	0.99692	1.6521	0
Meth__cg00485296__NME3	0.049901	0.021139	0.027983	0.023955	0.020004	0.026268	0.031399	0.026307	0.050277	0.50462	0.060398	0.029874	0.63479	0.076013	0.017384	0.024165	0.027314	0.021774	0.031271	0.040776	0.027311	0.12001	0.022422	0.020482	0.2416	0.018656	0.059821	0.028451	0.022692	0.029606
Meth__cg18635110__C20orf116	0.068293	0.064308	0.057546	0.046624	0.044366	0.070425	0.036992	0.46486	0.047904	0.041511	0.071131	0.075788	0.040466	0.078092	0.055481	0.059754	0.076833	0.06892	0.042235	0.07065	0.06644	0.12055	0.054306	0.065625	0.053476	0.049937	0.092281	0.070743	0.077949	0.071939
Meth__cg10844844__KCNK5	0.045353	0.046784	0.1082	0.051501	0.93447	0.045847	0.078723	0.049055	0.048573	0.088788	0.14181	0.071303	0.064668	0.16101	0.20365	0.085412	0.061903	0.14163	0.04549	0.30666	0.17251	0.89048	0.0512	0.29755	0.036102	0.070856	0.068318	0.056492	0.088064	0.099977
RS_G17301__KRT17__KRT17	5.3276	2.3353	2.1138	5.2677	2.8894	1.9821	13.2654	1.7849	4.7247	13.0163	9.171	13.8349	0	9.2183	4.3464	7.482	1.5306	0.60515	13.2263	1.9	4.2829	5.4408	3.7136	13.3069	9.6792	0.35345	3.8105	3.5577	2.8037	1.9077
Meth__cg24623271__ZIC2	0.39781	0.07379	0.547	0.4038	0.038425	0.060793	0.073735	0.051221	0.48218	0.067866	0.055265	0.065779	0.064729	0.21311	0.034763	0.031868	0.10147	0.85147	0.76292	0.074662	0.067899	0.47668	0.060592	0.054176	0.26455	0.039312	0.085036	0.05833	0.72698	0.69912
Meth__cg22392708__KRT23	0.024786	0.038491	0.17123	0.023522	0.45849	0.081562	0.045942	0.036546	0.023584	0.020674	0.051049	0.025693	0.20847	0.043478	0.37792	0.052018	0.12336	0.027832	0.01986	0.61525	0.042807	0.07181	0.10829	0.026421	0.031114	0.02314	0.041389	0.033175	0.077757	0.037554
RS_G12055__IFI27__IFI27	4.0922	4.7513	0.72205	6.7926	1.0972	0	3.8876	2.8312	8.1137	10.0905	12.0844	3.6058	0.89527	13.3216	2.2262	7.8184	2.6569	2.6229	6.5223	0.62258	1.4227	1.8776	3.5761	10.5207	14.2497	1.7041	6.718	0.48054	1.8182	1.1944
Meth__cg03528946__SHB	0.045812	0.041634	0.041615	0.048671	0.64143	0.05322	0.029929	0.049549	0.046175	0.040004	0.081974	0.18148	0.047577	0.077284	0.30588	0.034016	0.04204	0.055164	0.042101	0.067198	0.046093	0.075432	0.062166	0.039586	0.045844	0.035047	0.049865	0.047459	0.050473	0.04848
RS_G7670__DDX60__DDX60	3.8387	0.32032	2.7237	6.0772	1.8134	2.4436	2.2916	2.325	7.7036	6.1506	3.5657	1.0877	3.1529	7.8636	1.6225	1.3036	1.3175	5.3043	0.698	3.1707	0.73398	0.62401	0.73295	3.8316	5.4245	2.1658	1.8779	1.3425	1.1743	0.43139
RS_G402__CD74__CD74	4.4509	2.0172	0.18629	6.0079	0	2.2892	5.7658	3.7089	3.9676	9.1643	2.2907	0	2.0276	10.3163	0.89633	2.7804	0.59187	9.3373	4.2963	0.96601	0.79006	0.54729	3.046	4.6483	3.806	0.35449	6.7285	8.8965	0.93132	0
Meth__cg07826255__SGCA	0.12084	0.13586	0.37489	0.133	0.32957	0.1215	0.43688	0.11288	0.22782	0.43508	0.18446	0.14602	0.096187	0.19176	0.087977	0.18765	0.11497	0.70799	0.54626	0.093098	0.12479	0.23299	0.044899	0.08299	0.14792	0.15485	0.12377	0.10367	0.080553	0.062261
Meth__cg23662675__PRKCBP1	0.036656	0.032102	0.025951	0.025864	0.030463	0.041555	0.022514	0.036959	0.043287	0.028458	0.086982	0.035076	0.043522	0.097782	0.046993	0.58805	0.70246	0.033048	0.022281	0.058661	0.040142	0.095249	0.039613	0.039297	0.028992	0.02048	0.054315	0.035398	0.030444	0.032799
RS_G2763__MSLN__MSLN	1.9172	1.1072	0.26865	1.2587	0	0.65029	3.3609	0.46614	3.6581	4.948	1.1454	3.8141	0	4.6543	1.4248	1.3942	0.55045	0.8186	8.216	1.9546	0.64745	0.59172	1.0139	12.2802	3.7565	1.1483	1.5429	1.1955	1.4456	0.34563
Meth__cg12297221__ART5	0.042027	0.025634	0.039511	0.030813	0.61185	0.039409	0.46169	0.12014	0.038707	0.094664	0.60618	0.92983	0.076585	0.11923	0.041161	0.037151	0.048903	0.46912	0.025485	0.67314	0.27011	0.63397	0.10051	0.096813	0.025972	0.32842	0.079403	0.043279	0.050552	0.041117
Meth__cg14106308__VEPH1	0.061824	0.065457	0.058663	0.04718	0.74006	0.072702	0.056818	0.061267	0.043381	0.054619	0.11765	0.047875	0.05251	0.19318	0.91641	0.048847	0.045283	0.91523	0.049184	0.10675	0.063835	0.11284	0.32904	0.049154	0.052735	0.070133	0.1633	0.07505	0.064521	0.059159
RS_G9301__LCN2__LCN2	7.9862	7.5065	0.2591	2.5214	1.0548	0	8.9465	3.2659	14.4056	10.9978	11.4171	8.3978	0	12.1109	0	1.1701	0.24297	0.80642	9.3061	0.75668	1.4008	2.8619	2.3419	9.8541	9.6157	0.26478	4.6674	0.88603	6.7469	2.4633
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	5.2973	9.1722	6.5673	6.0911	1.8643	3.3544	10.3925	2.1393	3.6083	3.6486	6.109	2.752	6.2823	1.4311	1.9978	1.8031	5.7124	8.5429	3.048	5.5259	0.1874	1.7547	0.9293
Meth__cg16080552__TACSTD2	0.081532	0.063337	0.16135	0.057061	0.89737	0.17764	0.061114	0.12645	0.86069	0.057481	0.13114	0.86655	0.34635	0.17581	0.68714	0.17831	0.075019	0.85669	0.14745	0.11497	0.08963	0.16571	0.376	0.068312	0.059489	0.87634	0.087156	0.090214	0.10215	0.4387
RS_G16393__AC011443.6__AC011443.6	0.78149	0	0	2.0242	0.98271	0	2.6501	0.15815	5.8548	5.1701	0.82457	0	0	0	1.7873	3.5388	0.57774	2.4709	5.1725	0	0.39217	0	0.38765	4.7857	2.489	0	1.979	6.2604	2.0745	0.97076
Meth__cg21918500__ZNF124	0.015757	0.076112	0.017303	0.015232	0.021963	0.12719	0.49424	0.026922	0.01869	0.021167	0.45404	0.49806	0.017909	0.031135	0.28791	0.15979	0.32314	0.023455	0.021494	0.065582	0.022681	0.034516	0.019941	0.053532	0.018904	0.018087	0.042003	0.025624	0.023926	0.02311
Meth__cg27397287__CD97	0.038682	0.1521	0.53807	0.17712	0.71549	0.3268	0.2378	0.44367	0.076265	0.13512	0.18131	0.18914	0.045371	0.058388	0.13711	0.24453	0.41251	0.66639	0.083103	0.28986	0.52169	0.64288	0.60458	0.033987	0.050264	0.4837	0.112	0.44715	0.42564	0.44799
Meth__cg06226384__CACNG5	0.082869	0.025691	0.36747	0.09534	0.056227	0.11916	0.25292	0.033985	0.097543	0.080853	0.092099	0.040031	0.029412	0.083991	0.043695	0.094988	0.10897	0.085191	0.65839	0.078658	0.024166	0.035377	0.018715	0.049072	0.0229	0.048468	0.055541	0.05024	0.038335	0.03692
Meth__cg11243196__ADAMTS3	0.041602	0.73797	0.051454	0.035428	0.81891	0.094095	0.031351	0.052018	0.043188	0.064076	0.27732	0.044755	0.041269	0.096864	0.037661	0.64545	0.53302	0.088006	0.027285	0.61432	0.0498	0.28105	0.029329	0.030627	0.026553	0.85182	0.12124	0.053884	0.040935	0.042112
Meth__cg01952458__ATP6V1B2	0.038435	0.026395	0.045603	0.031212	0.095782	0.064643	0.032258	0.039679	0.032992	0.043816	0.30601	0.086647	0.10588	0.19456	0.031139	0.043176	0.060499	0.10496	0.025517	0.33849	0.064317	0.088571	0.021745	0.016592	0.047659	0.067746	0.034506	0.032694	0.063793	0.063991
Meth__cg02854288__FHIT	0.072634	0.061897	0.06852	0.056135	0.16638	0.055975	0.059663	0.057463	0.053334	0.03789	0.17927	0.047255	0.12118	0.095371	0.079046	0.20832	0.064975	0.080901	0.072132	0.11123	0.068869	0.079872	0.061742	0.067774	0.057739	0.073696	0.068494	0.073866	0.060924	0.06024
Meth__cg20391984__CAMK2D	0.31612	0.028408	0.030098	0.020729	0.024807	0.034464	0.021948	0.032705	0.029536	0.019297	0.43931	0.89283	0.035156	0.073202	0.03037	0.046631	0.032361	0.47952	0.026035	0.04983	0.028915	0.097034	0.030402	0.027256	0.026195	0.03442	0.057846	0.031789	0.033384	0.41549
Meth__cg21301148__MYH6	0.25285	0.067911	0.66915	0.5794	0.097872	0.1594	0.42115	0.10687	0.1401	0.47904	0.17801	0.12395	0.12595	0.14001	0.05153	0.45672	0.42952	0.59962	0.88404	0.1189	0.22132	0.15657	0.091789	0.075246	0.09646	0.10355	0.3033	0.61074	0.14644	0.14626
Meth__cg03691812__CORO1A	0.043263	0.047566	0.046825	0.040054	0.098639	0.076073	0.067152	0.046158	0.045748	0.095977	0.24867	0.073498	0.041581	0.097391	0.19917	0.050139	0.049022	0.086099	0.042693	0.1108	0.05319	0.2185	0.032781	0.033893	0.029901	0.14639	0.063231	0.08075	0.0493	0.063577
Meth__cg10962407__ALS2CR15	0.019657	0.046352	0.16992	0.31492	0.023006	0.24167	0.50954	0.048647	0.6358	0.098133	0.43346	0.022736	0.0097492	0.052266	0.016934	0.026344	0.017486	0.017573	0.032198	0.033424	0.022227	0.55508	0.01678	0.019639	0.10864	0.15813	0.046429	0.027042	0.1062	0.025806
Meth__cg24352499__AQP6	0.099744	0.08695	0.76035	0.36763	0.11918	0.21541	0.12564	0.11146	0.36541	0.48834	0.37149	0.13886	0.12045	0.21066	0.062169	0.11842	0.1205	0.18898	0.35407	0.19291	0.39872	0.25358	0.068952	0.076583	0.35762	0.24337	0.26097	0.68865	0.10786	0.12097
Meth__cg19536127__CALM2	0.044138	0.37518	0.18825	0.11535	0.57727	0.33155	0.043256	0.26655	0.043634	0.13318	0.27583	0.047747	0.061477	0.14342	0.071564	0.5396	0.21994	0.63503	0.18503	0.11426	0.40692	0.11696	0.045451	0.048362	0.069521	0.19923	0.13169	0.084024	0.26771	0.51663
Meth__cg11009736__MARCO	0.7946	0.15517	0.86937	0.814	0.099822	0.37041	0.84742	0.27409	0.26577	0.78835	0.65143	0.80658	0.4041	0.55806	0.1399	0.16317	0.32106	0.10693	0.85223	0.092022	0.15352	0.17827	0.099169	0.21964	0.12164	0.21133	0.17632	0.81256	0.39554	0.26786
Meth__cg18484189__NALP10	0.53223	0.047513	0.58826	0.43926	0.77646	0.31242	0.833	0.74433	0.26471	0.83267	0.43718	0.2525	0.52498	0.14613	0.1305	0.23996	0.1836	0.046879	0.81371	0.24109	0.11409	0.11547	0.10457	0.1402	0.068544	0.21084	0.29418	0.71928	0.22414	0.2936
Meth__cg14399078__ADPRH	0.021306	0.019376	0.15591	0.049031	0.89388	0.14486	0.017928	0.022476	0.027276	0.013191	0.37649	0.356	0.015162	0.042003	0.21519	0.019403	0.019857	0.51874	0.015235	0.514	0.087649	0.75879	0.16697	0.019144	0.039743	0.47287	0.031775	0.030264	0.12705	0.64927
RS_G12489__TTYH1__TTYH1	1.4517	4.1679	2.3853	3.6837	0.82544	2.1058	6.3974	3.3387	8.0912	4.06	2.4374	1.5351	1.2435	7.9391	1.7661	1.8495	1.3163	1.9614	3.5957	0.92956	1.4193	2.7172	1.7052	1.1684	2.7498	5.2256	5.7806	4.13	4.2378	2.2327
Meth__cg06256735__MFAP5	0.36047	0.054363	0.83534	0.47908	0.054447	0.40666	0.75335	0.52194	0.69524	0.39655	0.63729	0.28157	0.83392	0.12696	0.090909	0.23179	0.1657	0.8784	0.84331	0.065745	0.21824	0.19701	0.058668	0.20204	0.058917	0.29616	0.29286	0.1269	0.34018	0.17583
Meth__cg24884084__SPRR1B	0.26002	0.042383	0.35597	0.18739	0.051433	0.090595	0.72339	0.080472	0.062671	0.48203	0.47324	0.071565	0.062283	0.12855	0.059441	0.12311	0.14245	0.071857	0.64201	0.095248	0.090493	0.078917	0.051745	0.27461	0.061209	0.055212	0.13448	0.3535	0.080445	0.080071
Meth__cg19111262__IGSF9	0.039211	0.051878	0.051877	0.032709	0.87894	0.049199	0.040137	0.055298	0.074081	0.053224	0.083688	0.051816	0.22488	0.08207	0.87074	0.069502	0.050441	0.048899	0.034731	0.80738	0.066364	0.062521	0.71583	0.066415	0.038395	0.043157	0.075828	0.059041	0.046012	0.039604
RS_G12129__GABRB3__GABRB3	6.1029	0.22135	3.7179	0	0	0	0.38963	0	4.6902	0.31319	0	0.32792	0	0	0	0	0	6.0912	1.1978	1.4035	0	0	0.29687	0	0	0	4.2047	0.54281	0	2.6963
Meth__cg23266266__DCUN1D4	0.038011	0.047464	0.046901	0.033422	0.038246	0.054745	0.033036	0.048696	0.04063	0.044149	0.087767	0.048091	0.044223	0.14527	0.038371	0.06056	0.045711	0.046903	0.032574	0.065032	0.037631	0.063164	0.036547	0.045548	0.039819	0.046786	0.096349	0.047586	0.044635	0.052851
Meth__cg16330965__SNAPC5	0.24942	0.080318	0.23486	0.39785	0.07524	0.092328	0.55567	0.1189	0.79012	0.6688	0.36718	0.18202	0.20372	0.19814	0.53266	0.41749	0.40002	0.87764	0.8453	0.14978	0.18121	0.28856	0.25539	0.076956	0.2679	0.049528	0.14331	0.17374	0.43671	0.12769
Meth__cg06220958__MYH2	0.23574	0.037092	0.13544	0.27725	0.035966	0.097533	0.096126	0.13782	0.23326	0.14682	0.15288	0.07415	0.077239	0.10347	0.068061	0.097058	0.077442	0.21619	0.11753	0.083922	0.079345	0.32157	0.061541	0.051586	0.076432	0.11432	0.35734	0.12778	0.13862	0.15214
RS_G22235__AC087350.3__AC087350.3	6.7584	3.3757	0	4.1748	0	2.4007	8.6826	5.3739	9.9573	6.5159	4.2809	8.6943	4.2513	7.319	0.31621	0	5.0434	3.5025	6.3716	3.8004	0.80904	1.6475	4.6914	10.1015	7.7291	3.0354	5.2584	3.9664	3.1179	0.82242
Meth__cg09044743__PANK4	0.05407	0.046202	0.69989	0.70409	0.085507	0.064025	0.12681	0.069729	0.16758	0.14104	0.14295	0.078209	0.07428	0.15611	0.047663	0.14571	0.30804	0.046167	0.14578	0.073667	0.62169	0.36285	0.053698	0.042783	0.27602	0.043757	0.097832	0.095741	0.25782	0.087561
Meth__cg11726593__IMPA1	0.43298	0.03894	0.82356	0.50668	0.33685	0.042209	0.7904	0.50204	0.56189	0.45207	0.2373	0.14347	0.11205	0.25258	0.37837	0.52689	0.31829	0.51882	0.55706	0.12149	0.39156	0.75873	0.043647	0.049511	0.72797	0.40705	0.036789	0.31585	0.84287	0.3216
Meth__cg16762195__LGP2	0.029625	0.076357	0.043369	0.024755	0.14529	0.037691	0.033215	0.067469	0.1291	0.031151	0.15563	0.33017	0.029089	0.060087	0.037444	0.41257	0.43414	0.030873	0.034823	0.16766	0.13311	0.12418	0.029743	0.028521	0.0308	0.10755	0.077834	0.034659	0.1682	0.3161
RS_G3758__SOD3__SOD3	7.5192	4.4952	4.6305	5.0809	0	0.33068	0	0.9042	6.7181	3.1972	0	6.5962	1.8315	1.4813	0.36301	0.31984	0	0.60126	0	4.7235	5.6337	0	0.3023	0	8.0244	0	9.7077	0.80941	0	0.23985
Meth__cg09297361__SNX22	0.088315	0.074757	0.083927	0.07085	0.80501	0.108	0.049962	0.073798	0.095671	0.078274	0.36926	0.8564	0.07315	0.095148	0.060985	0.11906	0.27048	0.092793	0.061242	0.43491	0.20989	0.19689	0.070192	0.05567	0.065249	0.5308	0.13907	0.080336	0.3604	0.5555
Meth__cg00303548__HS6ST3	0.031044	0.015658	0.028269	0.018552	0.3425	0.041356	0.028235	0.036309	0.037953	0.020909	0.084408	0.038908	0.030124	0.037391	0.035288	0.032418	0.049931	0.027975	0.019417	0.070198	0.050559	0.05774	0.022965	0.02732	0.018698	0.037547	0.067436	0.057953	0.03398	0.038228
Meth__cg12891678__SPRR2D	0.65597	0.064647	0.80788	0.76616	0.065692	0.48435	0.8479	0.23086	0.10097	0.69092	0.71983	0.082306	0.37615	0.2323	0.045983	0.12304	0.15548	0.066439	0.81388	0.096209	0.23465	0.22566	0.059724	0.065415	0.07916	0.31478	0.087678	0.54661	0.51812	0.56668
RS_G17782__NCCRP1__NCCRP1	1.9723	8.6754	1.5981	1.8852	0.54713	1.1785	1.3837	2.3662	2.0152	6.4577	2.5357	0	0.72975	7.6867	0.73063	1.3422	0.12719	1.2547	9.0527	0	1.4329	0.61219	0.23329	0.67322	9.318	5.0823	2.535	6.5272	6.7479	0.97934
Meth__cg08397758__C10orf33	0.047195	0.060419	0.046762	0.039605	0.88177	0.074009	0.04076	0.051551	0.037272	0.12041	0.11133	0.050358	0.12013	0.071095	0.042098	0.058421	0.045577	0.054977	0.0406	0.053249	0.057831	0.099132	0.8114	0.037196	0.029896	0.043253	0.059265	0.049966	0.050382	0.04376
Meth__cg26292864__ITM2C	0.032456	0.04	0.040057	0.030292	0.036757	0.046994	0.029602	0.052263	0.032321	0.036959	0.10165	0.038588	0.037562	0.066553	0.03566	0.023963	0.046368	0.62352	0.036716	0.10999	0.05268	0.10227	0.031379	0.039526	0.027452	0.035952	0.14206	0.05245	0.047418	0.066555
Meth__cg24355048__CTSG	0.74582	0.043631	0.57493	0.20997	0.068882	0.16942	0.2244	0.04173	0.2287	0.19752	0.17992	0.082565	0.24948	0.1699	0.062479	0.087189	0.15361	0.93082	0.73607	0.055578	0.074664	0.15727	0.058787	0.058862	0.030174	0.055267	0.098952	0.040309	0.19996	0.11128
Meth__cg05523085__MYO5A	0.037195	0.037682	0.048347	0.04138	0.5795	0.39371	0.07913	0.031284	0.085078	0.048622	0.74325	0.098435	0.053528	0.093015	0.062918	0.088469	0.033305	0.22294	0.050609	0.60108	0.22719	0.17868	0.16878	0.036228	0.031483	0.26213	0.14492	0.044942	0.086631	0.32246
Meth__cg00446235__F11R	0.034941	0.24744	0.039138	0.019974	0.29038	0.041805	0.025367	0.047406	0.2971	0.036541	0.077023	0.038689	0.026911	0.096095	0.94695	0.031219	0.043146	0.035773	0.034276	0.80302	0.041656	0.13572	0.40574	0.039574	0.034358	0.033855	0.062693	0.048893	0.048342	0.044797
Meth__cg06994747__ADAMTS10	0.10111	0.23837	0.14425	0.097217	0.080007	0.44607	0.074357	0.083046	0.089396	0.073868	0.28615	0.10217	0.12019	0.13141	0.13437	0.18516	0.12418	0.092044	0.071314	0.88686	0.5385	0.46039	0.077263	0.087157	0.071883	0.76258	0.15024	0.088105	0.083813	0.10429
Meth__cg15931943__FHIT	0.029246	0.024592	0.029412	0.019725	0.058098	0.028772	0.019822	0.023602	0.020781	0.01692	0.083538	0.031973	0.047561	0.032311	0.02937	0.15922	0.028475	0.028231	0.021427	0.15215	0.026649	0.032479	0.019408	0.027162	0.023808	0.030796	0.044487	0.028769	0.026906	0.026815
RS_G14453__NR2F1__NR2F1	0	0.62002	0.26207	0	8.065	0	1.6759	3.4171	0.14742	4.981	4.7643	4.1435	1.2267	4.8295	7.9087	2.6308	0.72901	1.9212	1.1957	8.0721	9.375	10.4319	6.7984	3.8738	4.7493	1.7813	4.5034	1.195	4.6681	8.2892
Meth__cg19384697__UPK3B	0.077999	0.07585	0.34731	0.0963	0.46246	0.15257	0.10996	0.10479	0.096249	0.063856	0.25621	0.15206	0.32762	0.097802	0.11949	0.069637	0.084561	0.45866	0.066121	0.76983	0.11446	0.14927	0.10636	0.37344	0.092723	0.078963	0.084227	0.069977	0.13846	0.37555
RS_G13657__SNTB1__SNTB1	5.3832	8.4768	2.0145	4.4193	0.46368	0	4.8195	3.4038	1.0708	3.8555	1.6321	3.1292	1.0472	4.6096	7.4302	0.58832	1.0654	0.79422	6.1443	4.9661	0.91013	0	4.5946	3.3807	8.5304	0.43164	3.1699	0.94195	3.7784	3.5099
