Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg11277230__MGC26744	0.26114	0.87228	0.9486	0.724	0.44921	0.68993	0.15424	0.12324	0.20167	0.41208	0.052779	0.67502	0.6227	0.93994	0.133	0.88569	0.2039	0.14364	0.33313	0.26994	0.24613	0.089598	0.39044	0.14943	0.082826	0.59769	0.51522	0.073186	0.0789	0.42838	0.90462	0.11493	0.23082	0.083188	0.58223	0.71841
EA_G__CDCP1	8.534	6.3089	8.9565	8.0251	7.65	4.5396	7.6241	9.0594	7.5934	7.5561	6.2779	9.1124	8.9327	5.5502	8.5008	9.5947	6.558	8.4237	4.6847	5.0267	5.1655	4.6864	8.0631	7.9998	6.7411	8.0166	6.3926	10.3823	8.3255	9.0246	5.3489	7.2998	7.685	8.3503	7.7927	7.2571
Meth__cg01557297__SLC22A17	0.030031	0.029478	0.028907	0.048042	0.02043	0.57069	0.034454	0.025227	0.020445	0.024879	0.026033	0.33143	0.056705	0.03953	0.020349	0.037585	0.024676	0.13441	0.021003	0.02422	0.029557	0.029957	0.93921	0.026268	0.060867	0.050417	0.045115	0.028868	0.034319	0.035557	0.019379	0.030241	0.051255	0.024615	0.02183	0.028634
Meth__cg20346726__MGC13040	0.091096	0.054526	0.63767	0.48837	0.043847	0.47739	0.89758	0.04627	0.096095	0.067232	0.10718	0.076101	0.75205	0.041316	0.10588	0.13047	0.06144	0.089813	0.050245	0.46831	0.20247	0.073317	0.76866	0.84372	0.08678	0.63292	0.11006	0.085203	0.052329	0.047407	0.23534	0.56007	0.53681	0.061	0.36925	0.83546
Meth__cg27472295__TPBG	0.052107	0.050723	0.06512	0.051335	0.051191	0.042135	0.081078	0.061172	0.051831	0.076371	0.64742	0.068305	0.072947	0.028864	0.064352	0.046323	0.051219	0.077779	0.043664	0.033694	0.050294	0.057399	0.11209	0.0385	0.055496	0.11713	0.11433	0.057	0.056891	0.039789	0.050497	0.038626	0.17533	0.052389	0.03642	0.040369
Meth__cg01952458__ATP6V1B2	0.038435	0.026395	0.14334	0.045603	0.031212	0.095782	0.064643	0.032258	0.066073	0.039679	0.032992	0.043816	0.30601	0.040062	0.06752	0.086647	0.10588	0.19456	0.031139	0.043176	0.060499	0.054376	0.33849	0.064317	0.05412	0.088571	0.032444	0.021745	0.016592	0.03386	0.018672	0.067746	0.034506	0.032694	0.063793	0.063991
EA_G__KRT13	6.9552	7.2847	6.701	6.1001	10.33	5.8539	5.749	6.2374	5.8131	8.2877	5.8424	10.2844	6.4656	5.9006	5.958	5.8992	5.5661	5.9554	5.8534	6.201	6.0885	5.3836	5.7852	5.6344	5.7481	6.6622	7.0171	5.947	6.2364	5.6979	5.7858	6.0699	7.0802	6.0486	5.977	5.6948
EA_G__NNT	8.9594	4.498	6.2656	8.1961	7.7612	9.1154	7.1893	7.8733	8.3974	8.0816	8.3827	8.8486	4.1845	7.867	9.8433	8.4993	8.7518	8.5517	8.91	8.0412	8.4446	10.364	8.8528	8.1478	7.5189	5.9494	5.547	9.6096	7.8752	9.5736	4.8242	4.7976	9.6352	8.1122	6.3612	7.0369
Meth__cg06765514__PIP5KL1	0.077247	0.053407	0.3816	0.93923	0.076456	0.80887	0.047066	0.64847	0.05297	0.062667	0.4128	0.11675	0.85998	0.038587	0.052455	0.4528	0.88948	0.37044	0.42452	0.33446	0.35148	0.83762	0.76912	0.62994	0.12395	0.75707	0.16938	0.051432	0.047863	0.31923	0.056965	0.089286	0.41999	0.089891	0.33044	0.7119
Meth__cg13044136__AES	0.061038	0.06117	0.12741	0.46001	0.16263	0.14646	0.099322	0.05236	0.06689	0.15314	0.062108	0.072148	0.55405	0.22821	0.064577	0.11588	0.15568	0.12039	0.084301	0.36968	0.37227	0.66354	0.13705	0.1641	0.11215	0.14172	0.15149	0.10628	0.060209	0.068682	0.86211	0.078517	0.10183	0.40737	0.35421	0.12723
Meth__cg09306675__EYA2	0.90949	0.073008	0.50631	0.3481	0.066997	0.71775	0.73174	0.53956	0.070186	0.10154	0.090197	0.052058	0.21565	0.17816	0.083301	0.34014	0.1896	0.13803	0.057715	0.90497	0.94582	0.41425	0.87472	0.068178	0.10091	0.91869	0.08712	0.1122	0.16133	0.069378	0.30824	0.15213	0.088361	0.070535	0.49414	0.18758
Meth__cg22336401__ENTPD8	0.050641	0.036239	0.082373	0.29926	0.049389	0.44466	0.17227	0.48434	0.032093	0.042157	0.038205	0.15717	0.42184	0.037921	0.044488	0.062299	0.038708	0.36257	0.57135	0.06529	0.05999	0.041404	0.87815	0.071196	0.068182	0.18698	0.11862	0.041892	0.040456	0.088966	0.26223	0.70901	0.04703	0.044599	0.12272	0.10213
Meth__cg25027501__GSTM3	0.48698	0.32752	0.90349	0.57164	0.065846	0.052485	0.64846	0.41241	0.03981	0.058908	0.055697	0.054527	0.32275	0.13157	0.07101	0.050051	0.32584	0.07441	0.24492	0.32737	0.066005	0.05782	0.24253	0.45338	0.1019	0.82803	0.15661	0.068848	0.046992	0.38954	0.12448	0.29407	0.24125	0.058111	0.67429	0.63807
Meth__cg19037167__TLR2	0.12153	0.34297	0.59454	0.92875	0.96826	0.95272	0.97626	0.51057	0.075135	0.126	0.21869	0.20217	0.71168	0.31918	0.089442	0.94901	0.040721	0.066209	0.74165	0.98299	0.82533	0.054545	0.91742	0.85364	0.073666	0.63734	0.071032	0.048066	0.10848	0.34329	0.97805	0.97898	0.053137	0.40163	0.88649	0.97852
Meth__cg07129274__HIST1H2AL	0.049187	0.049462	0.046648	0.051429	0.035589	0.65051	0.060958	0.13018	0.099983	0.055141	0.54419	0.20406	0.093182	0.032047	0.069797	0.039087	0.027379	0.05721	0.1124	0.039586	0.040726	0.05647	0.67278	0.064246	0.038914	0.10603	0.074199	0.33269	0.033296	0.071039	0.050206	0.039048	0.14582	0.15737	0.061731	0.077545
Meth__cg14854487__LAMP2	0.564	0.031949	0.03199	0.042164	0.22737	0.025042	0.045858	0.32788	0.42662	0.026675	0.052853	0.026073	0.06892	0.028251	0.37255	0.063562	0.59922	0.11665	0.035661	0.025168	0.034539	0.032207	0.067828	0.046999	0.28527	0.52416	0.075761	0.57047	0.03545	0.3582	0.041364	0.19151	0.19444	0.65888	0.053454	0.031216
Meth__cg08132931__ADD2	0.57405	0.041512	0.52487	0.39783	0.038083	0.61366	0.70325	0.060746	0.038432	0.055316	0.076793	0.063322	0.61927	0.35167	0.046242	0.047636	0.041958	0.064777	0.062246	0.66354	0.55288	0.075227	0.39222	0.40567	0.10175	0.79733	0.065307	0.038033	0.03305	0.036807	0.67471	0.27854	0.29422	0.45561	0.62045	0.66157
Meth__cg14951292__HMOX2	0.076695	0.050266	0.82708	0.60329	0.034155	0.6606	0.040776	0.207	0.072583	0.096613	0.043425	0.91105	0.63914	0.26354	0.070819	0.35668	0.70137	0.31101	0.836	0.25534	0.08564	0.66715	0.81729	0.78936	0.27735	0.076686	0.047243	0.29313	0.52981	0.11927	0.59146	0.068838	0.072353	0.033655	0.099825	0.035873
Meth__cg15379858__ChGn	0.034158	0.046692	0.037411	0.92586	0.041229	0.59018	0.56407	0.3365	0.029173	0.069172	0.89134	0.0633	0.079984	0.67597	0.34419	0.90874	0.925	0.058807	0.43564	0.82734	0.60529	0.8902	0.82727	0.86775	0.18682	0.85081	0.082776	0.88362	0.032444	0.49223	0.84771	0.9235	0.20654	0.059573	0.74675	0.81435
Meth__cg15925792__MX1	0.20244	0.11755	0.075898	0.54847	0.044598	0.94985	0.39509	0.63298	0.060162	0.057055	0.069225	0.095481	0.92546	0.035366	0.13187	0.94774	0.075935	0.097526	0.067286	0.97231	0.96384	0.059381	0.52474	0.9413	0.21081	0.52754	0.088316	0.09591	0.04533	0.074556	0.084864	0.96213	0.082803	0.071599	0.53152	0.93859
Meth__cg19439331__CXXC6	0.060526	0.044109	0.039611	0.17056	0.038837	0.035538	0.060549	0.033045	0.03544	0.052376	0.0463	0.029261	0.093309	0.0578	0.036776	0.49513	0.034318	0.075938	0.029527	0.038891	0.047928	0.050396	0.7814	0.054497	0.10412	0.22645	0.074185	0.0343	0.033641	0.039791	0.023538	0.21595	0.083065	0.041269	0.095941	0.044586
Meth__cg16442715__MAP3K7IP1	0.053033	0.049112	0.14141	0.054028	0.071809	0.057086	0.074865	0.059634	0.061144	0.071546	0.068272	0.076884	0.087923	0.061216	0.053575	0.079582	0.041953	0.0709	0.096818	0.085878	0.064795	0.088764	0.26068	0.099394	0.082411	0.080509	0.11999	0.053878	0.059078	0.070177	0.092867	0.065169	0.045762	0.071973	0.059728	0.067049
Meth__cg27279652__ITPR2	0.049027	0.065964	0.15044	0.090572	0.043124	0.51022	0.058958	0.060128	0.1831	0.036427	0.065351	0.02558	0.29924	0.027685	0.17247	0.17278	0.045424	0.13092	0.036585	0.037843	0.05416	0.053377	0.0757	0.11388	0.063533	0.15701	0.11	0.03493	0.070939	0.072257	0.19518	0.36079	0.060323	0.034792	0.24915	0.14887
Meth__cg06731599__ATP6AP2	0.64122	0.3832	0.081258	0.072776	0.50789	0.063712	0.069575	0.049874	0.68969	0.56466	0.093323	0.63137	0.60492	0.60461	0.62656	0.055163	0.049664	0.5037	0.056378	0.049003	0.099867	0.39398	0.1095	0.60284	0.50619	0.56731	0.5652	0.60187	0.05723	0.65613	0.70069	0.057377	0.11311	0.57448	0.27506	0.048969
Meth__cg11928635__ZNF318	0.046456	0.025782	0.12211	0.055716	0.031943	0.1227	0.028728	0.029225	0.044329	0.034282	0.024071	0.028818	0.14097	0.045802	0.041377	0.038175	0.066024	0.067281	0.025421	0.03317	0.058023	0.039111	0.075032	0.05072	0.061983	0.51325	0.077019	0.034853	0.024937	0.049041	0.15401	0.045119	0.15059	0.04185	0.051407	0.039902
Meth__cg11764747__EFNB1	0.21689	0.048849	0.85129	0.19878	0.11591	0.11515	0.68816	0.08304	0.045445	0.10204	0.071779	0.1181	0.18365	0.44211	0.05536	0.18152	0.08426	0.16039	0.056514	0.90398	0.25902	0.22589	0.29431	0.16783	0.41855	0.34371	0.15313	0.28106	0.036066	0.52909	0.15954	0.75746	0.11666	0.2038	0.12667	0.058309
Meth__cg10331038__TNR	0.72192	0.10113	0.46243	0.71691	0.65478	0.10661	0.31627	0.55569	0.73842	0.30075	0.64481	0.70742	0.58222	0.062142	0.5837	0.40734	0.80283	0.15589	0.10515	0.1725	0.18641	0.090919	0.17413	0.22302	0.18552	0.75055	0.10235	0.10366	0.13604	0.10064	0.725	0.27883	0.084169	0.60593	0.16747	0.19026
Meth__cg18335243__PTGS2	0.058998	0.03967	0.62279	0.93142	0.029881	0.95114	0.96504	0.07558	0.038462	0.06423	0.051419	0.17109	0.65144	0.8307	0.17173	0.46	0.042337	0.079314	0.43713	0.096573	0.093901	0.036923	0.072156	0.92456	0.098756	0.81057	0.13187	0.058293	0.033059	0.06194	0.34023	0.95807	0.11556	0.83503	0.9537	0.95217
Meth__cg05471521__STK6	0.10839	0.033109	0.064539	0.060583	0.20667	0.16907	0.80528	0.39571	0.16062	0.40736	0.077194	0.54686	0.12352	0.66486	0.14153	0.092816	0.064812	0.1117	0.08804	0.055467	0.040709	0.6588	0.18837	0.21594	0.12099	0.1334	0.068996	0.11785	0.051183	0.088704	0.56391	0.14528	0.17021	0.65462	0.051711	0.090803
EA_G__UCHL1	6.4525	5.7946	4.931	5.3146	6.3368	9.9801	5.0259	6.5753	10.4462	4.8118	8.9111	8.1848	5.0429	7.099	5.8865	4.7882	10.5443	8.079	4.6751	5.0645	5.2248	7.8491	4.9923	4.9464	6.5207	6.0308	5.5858	5.0615	5.8771	5.3554	5.4628	5.1078	6.2853	5.9129	4.8978	4.7617
Meth__cg15725933__SLC19A1	0.043428	0.031285	0.041194	0.046808	0.035535	0.033438	0.047135	0.014545	0.04171	0.045721	0.035019	0.046405	0.078724	0.026654	0.034575	0.045254	0.044828	0.072752	0.0491	0.048224	0.046151	0.033778	0.90186	0.064726	0.062612	0.087125	0.13449	0.033828	0.037275	0.053487	0.053127	0.037685	0.1622	0.042065	0.058711	0.058679
EA_G__PRKAR2B	3.6639	4.751	7.6397	6.673	7.3892	4.2612	5.5339	6.1629	5.6519	8.2984	6.7023	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	6.3269	5.5951	6.3291	4.8747	4.7273	5.1911	6.4866	4.6942	3.6612	6.1377	5.7235	5.3886	6.9424	6.823	6.4128
Meth__cg21301148__MYH6	0.25285	0.067911	0.43361	0.66915	0.5794	0.097872	0.1594	0.42115	0.26879	0.10687	0.1401	0.47904	0.17801	0.086147	0.21766	0.12395	0.12595	0.14001	0.05153	0.45672	0.42952	0.13033	0.1189	0.22132	0.1219	0.15657	0.11702	0.091789	0.075246	0.068529	0.34337	0.10355	0.3033	0.61074	0.14644	0.14626
Meth__cg13084335__CRYAB	0.046098	0.029719	0.039692	0.78979	0.25821	0.21391	0.11985	0.018546	0.03156	0.06343	0.036654	0.034991	0.11878	0.046598	0.041937	0.047137	0.10369	0.044461	0.026472	0.36156	0.49374	0.038861	0.075856	0.69023	0.060089	0.21496	0.076671	0.022702	0.16868	0.024413	0.60313	0.038627	0.074006	0.32316	0.30078	0.67323
Meth__cg06244906__ZIM2	0.90163	0.042749	0.5392	0.41479	0.91824	0.42462	0.65708	0.32653	0.064867	0.084705	0.85888	0.62466	0.20225	0.15072	0.10871	0.80712	0.30622	0.051761	0.044238	0.12761	0.32078	0.45238	0.19414	0.04835	0.074639	0.27518	0.064573	0.75574	0.16317	0.17711	0.065692	0.51542	0.095643	0.9171	0.070821	0.066571
Meth__cg03277051__COL8A1	0.051294	0.045501	0.57618	0.086788	0.046856	0.28585	0.4673	0.047012	0.049983	0.059576	0.042051	0.060623	0.35484	0.049189	0.051578	0.045468	0.046125	0.10847	0.043983	0.16751	0.073211	0.040854	0.081586	0.055097	0.13734	0.78417	0.081726	0.051908	0.045714	0.053379	0.24843	0.53584	0.10521	0.066806	0.107	0.11808
Meth__cg17749443__ZFP37	0.71083	0.021507	0.028475	0.97393	0.018479	0.019686	0.6997	0.02128	0.023233	0.026442	0.024116	0.015272	0.74645	0.74024	0.27067	0.032156	0.0207	0.055728	0.024789	0.91971	0.62849	0.026189	0.4551	0.44766	0.031776	0.072778	0.037789	0.028431	0.028122	0.030686	0.13421	0.31613	0.046866	0.034275	0.52598	0.14375
Meth__cg10530733__GPR173	0.37395	0.016204	0.82153	0.37138	0.1511	0.061402	0.07803	0.073673	0.10949	0.28679	0.44534	0.72474	0.17302	0.022888	0.078097	0.22199	0.031623	0.03888	0.023633	0.12636	0.13418	0.043981	0.26934	0.17103	0.030452	0.16755	0.055244	0.037207	0.018375	0.025166	0.062689	0.21285	0.041553	0.19587	0.030858	0.030772
Meth__cg12728032__ELF5	0.099195	0.044628	0.25314	0.055069	0.11541	0.20075	0.091379	0.12335	0.06333	0.063429	0.1445	0.073974	0.39871	0.042031	0.054822	0.11003	0.69142	0.3814	0.085784	0.077253	0.081201	0.57474	0.35253	0.078688	0.39324	0.35557	0.065063	0.12293	0.1659	0.21163	0.067462	0.48637	0.083481	0.051311	0.15539	0.091433
Meth__cg15920202__FLJ13910	0.0275	0.027766	0.031459	0.030806	0.028465	0.027559	0.078645	0.034098	0.27653	0.030138	0.62891	0.024955	0.026604	0.013431	0.19962	0.028955	0.02648	0.047244	0.028905	0.020804	0.025018	0.021098	0.048846	0.023841	0.041906	0.052743	0.041043	0.026265	0.019897	0.0283	0.01961	0.016393	0.083368	0.66744	0.030916	0.03114
Meth__cg14323109__KDR	0.084215	0.028818	0.13787	0.066702	0.039222	0.65586	0.062384	0.042456	0.045866	0.044609	0.073075	0.19114	0.089134	0.031747	0.043369	0.045815	0.078123	0.050956	0.50972	0.42491	0.06253	0.039705	0.50211	0.69279	0.072953	0.88333	0.13226	0.042825	0.058037	0.32907	0.046947	0.11227	0.13002	0.048393	0.072319	0.17063
Meth__cg12969595__TMEM98	0.035132	0.048	0.94105	0.69973	0.43562	0.94267	0.37056	0.41377	0.041691	0.039802	0.074125	0.28671	0.75978	0.068583	0.081098	0.15765	0.11415	0.081956	0.027611	0.94448	0.9423	0.12143	0.89988	0.048468	0.099245	0.57595	0.084973	0.044475	0.038337	0.046487	0.13246	0.93356	0.062316	0.081368	0.15558	0.27264
Meth__cg10315128__SMAD4	0.030318	0.035759	0.035856	0.029896	0.02549	0.023657	0.027342	0.013674	0.014946	0.021169	0.023991	0.024812	0.044771	0.022824	0.018506	0.030828	0.023377	0.048919	0.020279	0.02284	0.036964	0.026159	0.083532	0.030453	0.047523	0.034462	0.055081	0.02037	0.016735	0.018955	0.020859	0.018885	0.070193	0.024909	0.031015	0.032282
Meth__cg09419670__PSMD5	0.089707	0.060252	0.081589	0.070972	0.07881	0.7722	0.061577	0.052425	0.059646	0.055376	0.063649	0.062187	0.09825	0.046459	0.052811	0.074865	0.066581	0.13638	0.14847	0.069717	0.067077	0.064534	0.10697	0.093932	0.12491	0.10898	0.1153	0.053264	0.055837	0.053215	0.064623	0.066048	0.15612	0.074882	0.32105	0.11728
Meth__cg21197871__C8orf38	0.090808	0.15083	0.18856	0.094713	0.054267	0.60269	0.061369	0.11781	0.097177	0.080866	0.16243	0.07193	0.11607	0.03639	0.081861	0.1245	0.14365	0.12935	0.087054	0.068808	0.09556	0.10077	0.76784	0.11296	0.21208	0.13437	0.26165	0.097418	0.08445	0.16396	0.11271	0.15993	0.10296	0.060493	0.057219	0.098737
Meth__cg07034561__TSGA2	0.056775	0.38666	0.065821	0.18486	0.060193	0.31463	0.12257	0.0553	0.058861	0.069462	0.2285	0.16652	0.47887	0.091668	0.077407	0.1039	0.052806	0.088841	0.12387	0.183	0.070143	0.10363	0.28575	0.12444	0.094074	0.10136	0.24463	0.061044	0.048923	0.046206	0.071468	0.079915	0.10736	0.06207	0.10261	0.12586
Meth__cg03998173__RHEB	0.048895	0.22675	0.05538	0.060176	0.036119	0.38593	0.23656	0.096819	0.061489	0.043316	0.046265	0.071217	0.12839	0.029476	0.038253	0.037719	0.047139	0.065615	0.033367	0.6314	0.56573	0.057387	0.14866	0.83685	0.11174	0.083929	0.1126	0.027059	0.029239	0.28881	0.039079	0.082078	0.10491	0.054418	0.043655	0.069379
Meth__cg15531099__LCE1D	0.81173	0.041343	0.29763	0.92995	0.90359	0.1048	0.53506	0.64127	0.61993	0.30213	0.19871	0.58719	0.61163	0.034714	0.59369	0.10096	0.31213	0.11367	0.055215	0.26406	0.37912	0.082044	0.15029	0.73627	0.13333	0.35801	0.10605	0.061326	0.071679	0.04472	0.84471	0.54579	0.26837	0.79005	0.53518	0.66118
Meth__cg25635352__B3GALT3	0.040193	0.67512	0.96164	0.043662	0.033365	0.96375	0.044055	0.27791	0.031248	0.037226	0.046139	0.10864	0.61308	0.020357	0.031978	0.96695	0.030555	0.084258	0.24171	0.029597	0.53736	0.046384	0.088625	0.03887	0.064626	0.11684	0.39361	0.18046	0.032201	0.18422	0.24805	0.69706	0.09041	0.032765	0.52056	0.95493
Meth__cg07705835__IL17RC	0.027339	0.047608	0.035663	0.032915	0.034379	0.6562	0.030887	0.040031	0.024437	0.026348	0.041265	0.072575	0.072148	0.022034	0.030319	0.083566	0.048208	0.050113	0.13874	0.078344	0.13869	0.43548	0.088575	0.039288	0.030527	0.051338	0.075232	0.046941	0.053291	0.45694	0.054836	0.024896	0.06156	0.057762	0.04026	0.045433
Meth__cg11243196__ADAMTS3	0.041602	0.73797	0.68341	0.051454	0.035428	0.81891	0.094095	0.031351	0.04138	0.052018	0.043188	0.064076	0.27732	0.037134	0.055038	0.044755	0.041269	0.096864	0.037661	0.64545	0.53302	0.037814	0.61432	0.0498	0.064921	0.28105	0.077866	0.029329	0.030627	0.050007	0.38956	0.85182	0.12124	0.053884	0.040935	0.042112
Meth__cg19464016__PRDM1	0.36448	0.060765	0.46159	0.32931	0.044206	0.13514	0.12541	0.034416	0.068026	0.053212	0.048875	0.10397	0.45115	0.049611	0.045351	0.062726	0.046544	0.082879	0.050927	0.19687	0.28155	0.045439	0.12668	0.042677	0.23358	0.34463	0.056011	0.042178	0.031229	0.051258	0.43567	0.54211	0.11647	0.046378	0.062541	0.073556
EA_G__KLK8	5.603	5.4796	7.03	5.5998	5.8405	5.5788	5.5953	6.4393	7.535	5.4818	5.7206	7.8264	8.2141	5.8213	6.7011	5.7217	5.5303	5.979	5.4428	5.856	5.6216	5.4527	5.5983	5.2973	5.6231	6.3025	6.042	5.828	5.8264	5.921	5.6875	6.9526	6.0285	7.1964	5.9249	5.5943
Meth__cg20644981__RPS3A	0.34939	0.15964	0.39718	0.72691	0.27992	0.26609	0.20711	0.050103	0.037587	0.49235	0.043923	0.083991	0.36622	0.84327	0.047957	0.08368	0.099724	0.048246	0.79464	0.48032	0.12352	0.038454	0.3671	0.26589	0.11838	0.12113	0.12904	0.037898	0.02727	0.091448	0.67992	0.30003	0.3487	0.057646	0.52529	0.67013
Meth__cg17793621__ATP10A	0.084717	0.097461	0.93887	0.94765	0.059434	0.80384	0.93564	0.34835	0.22148	0.092305	0.095668	0.028191	0.26242	0.35796	0.1963	0.10122	0.078653	0.15849	0.045524	0.92545	0.91576	0.10956	0.25316	0.6293	0.084108	0.83827	0.10726	0.066525	0.36951	0.37068	0.050716	0.040707	0.11748	0.06002	0.04993	0.13219
Meth__cg17918501__FNDC4	0.20485	0.48636	0.89162	0.7004	0.16031	0.59416	0.90883	0.9358	0.05024	0.1247	0.51125	0.42867	0.9116	0.68214	0.15804	0.17028	0.16457	0.3895	0.062357	0.86578	0.9036	0.090819	0.89193	0.31158	0.11203	0.87833	0.6146	0.037162	0.050596	0.059615	0.92137	0.96682	0.18852	0.092152	0.57964	0.54032
Meth__cg21604856__SUHW1	0.56026	0.067476	0.094088	0.8191	0.82589	0.11175	0.70626	0.55185	0.60837	0.095147	0.47863	0.4228	0.49046	0.054096	0.47216	0.42121	0.076366	0.12364	0.042418	0.6494	0.17619	0.11023	0.11253	0.18134	0.072924	0.1333	0.091028	0.05963	0.31704	0.087076	0.52693	0.20362	0.11903	0.57372	0.29943	0.3037
Meth__cg21388029__CREG2	0.032214	0.021701	0.60958	0.61866	0.034425	0.61708	0.84035	0.024369	0.043634	0.75231	0.85046	0.11918	0.77981	0.046468	0.036466	0.12819	0.038497	0.062291	0.90395	0.63681	0.10997	0.047242	0.86786	0.17337	0.051252	0.89601	0.062427	0.032023	0.034585	0.95716	0.25381	0.93372	0.065786	0.23403	0.18135	0.80393
Meth__cg14869028__TINAGL1	0.068228	0.062479	0.067893	0.83979	0.84893	0.8138	0.83406	0.051463	0.068701	0.81607	0.060682	0.045756	0.097581	0.87674	0.071189	0.05152	0.092365	0.10536	0.64931	0.88914	0.86253	0.45233	0.10531	0.50548	0.148	0.7986	0.075731	0.10345	0.062399	0.18042	0.39098	0.82313	0.099106	0.11027	0.79607	0.79316
Meth__cg13183496__CXorf17	0.37856	0.037154	0.09538	0.056797	0.18294	0.040589	0.076562	0.069891	0.14501	0.30607	0.056912	0.33009	0.28502	0.057132	0.152	0.44968	0.037668	0.32402	0.095339	0.056027	0.056372	0.16537	0.15117	0.26304	0.10072	0.42698	0.16336	0.36948	0.037786	0.077506	0.067041	0.060193	0.059892	0.28978	0.11117	0.053608
Meth__cg20775959__ARNT2	0.041385	0.042429	0.97207	0.54629	0.53867	0.65814	0.96476	0.53138	0.041451	0.17724	0.11019	0.41137	0.9337	0.075043	0.096933	0.62703	0.03487	0.090656	0.39759	0.49602	0.45619	0.74213	0.61962	0.26723	0.063498	0.95049	0.05348	0.18238	0.27348	0.17558	0.49897	0.77686	0.44664	0.075668	0.54006	0.92581
Meth__cg02649608__ZBTB33	0.43757	0.071208	0.11134	0.057862	0.28913	0.058547	0.065039	0.25076	0.50648	0.064573	0.06689	0.032967	0.11753	0.047283	0.43151	0.28879	0.4405	0.20192	0.047597	0.050951	0.07	0.085151	0.11719	0.063121	0.36343	0.35376	0.087695	0.46151	0.058724	0.4206	0.051351	0.22705	0.17464	0.51546	0.36331	0.066486
Meth__cg05882522__EHD3	0.044777	0.052199	0.078977	0.050309	0.039479	0.043897	0.050397	0.029213	0.043153	0.042992	0.042242	0.076089	0.14728	0.044051	0.052467	0.038286	0.044333	0.087678	0.040224	0.041039	0.047557	0.045012	0.62275	0.04693	0.084146	0.11007	0.063491	0.043576	0.050294	0.041987	0.055646	0.059979	0.057177	0.042391	0.044985	0.04886
Meth__cg18441959__VPREB1	0.095926	0.023971	0.076739	0.39624	0.54693	0.032013	0.10043	0.21498	0.16558	0.071189	0.070993	0.053889	0.098836	0.02491	0.11521	0.077371	0.056094	0.072437	0.0288	0.36236	0.17307	0.067168	0.07025	0.06098	0.072748	0.055195	0.057921	0.031288	0.032588	0.035862	0.076712	0.063151	0.19463	0.13711	0.049386	0.046596
Meth__cg10501128__FLT1	0.037101	0.042476	0.18557	0.036963	0.024731	0.51835	0.045839	0.052079	0.029389	0.04267	0.052557	0.05421	0.087704	0.031042	0.036706	0.03894	0.040067	0.053319	0.066478	0.15764	0.065036	0.042103	0.34103	0.045334	0.045991	0.39395	0.12072	0.035057	0.034379	0.038808	0.034336	0.050913	0.11551	0.034605	0.05702	0.061115
Meth__cg06790324__GRB10	0.0287	0.029236	0.035245	0.029391	0.026686	0.76044	0.032203	0.044538	0.022733	0.024045	0.028278	0.027343	0.042168	0.01269	0.023738	0.027516	0.038745	0.037123	0.040643	0.020475	0.031217	0.034179	0.1097	0.033744	0.040874	0.067736	0.046753	0.017421	0.019674	0.016846	0.021786	0.045768	0.040162	0.026064	0.03015	0.028468
Meth__cg21546057__FIBP	0.042839	0.1956	0.05433	0.068868	0.040679	0.053846	0.07481	0.045564	0.047296	0.049626	0.051776	0.04796	0.17821	0.041068	0.059394	0.086062	0.034149	0.068881	0.045423	0.048242	0.045267	0.04674	0.064641	0.041918	0.06834	0.087743	0.06776	0.036193	0.048239	0.039674	0.28334	0.27513	0.0513	0.037881	0.047743	0.041008
Meth__cg06201642__ST6GALNAC5	0.3758	0.04974	0.89913	0.096771	0.046682	0.05237	0.080059	0.059039	0.043464	0.084767	0.062299	0.042672	0.85752	0.90921	0.048567	0.049547	0.052242	0.071447	0.048767	0.080451	0.052198	0.05615	0.88312	0.4198	0.11545	0.82741	0.075662	0.047532	0.055733	0.080657	0.098937	0.36279	0.10739	0.07361	0.054308	0.060495
Meth__cg17694877__DIAPH2	0.48242	0.057047	0.084252	0.070154	0.10033	0.065725	0.064035	0.42554	0.46313	0.077834	0.060523	0.066795	0.10362	0.053443	0.46016	0.40767	0.073102	0.15999	0.043593	0.049507	0.066977	0.32754	0.092535	0.067513	0.13166	0.51585	0.086557	0.073527	0.051613	0.42961	0.05864	0.45064	0.10263	0.53664	0.063005	0.071365
Meth__cg06758848__FLNA	0.45876	0.83621	0.0309	0.036093	0.40734	0.052737	0.03187	0.45038	0.31025	0.47557	0.029018	0.13619	0.79752	0.015539	0.25845	0.34257	0.42215	0.11589	0.023756	0.03619	0.026945	0.67563	0.30569	0.039256	0.060669	0.21629	0.33018	0.46728	0.024959	0.36006	0.16594	0.2554	0.12954	0.52313	0.42119	0.025579
