Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21700166__GPR68	0.30479	0.16829	0.94279	0.28845	0.88507	0.34473	0.8568	0.073934	0.071393	0.58287	0.79356	0.91006	0.073249	0.20871	0.5801	0.04307	0.32393	0.72315	0.40589	0.068229	0.82618	0.2756	0.8177	0.28783	0.030349	0.66446	0.087872	0.026221	0.029519	0.51532	0.44867	0.075228	0.7689	0.24769	0.034598	0.25255	0.12499
Meth__cg09835543__DIRAS2	0.07165	0.050945	0.60471	0.039852	0.87754	0.047918	0.08965	0.060302	0.036615	0.46044	0.06169	0.74632	0.066922	0.068182	0.095034	0.18249	0.48571	0.046522	0.038075	0.15204	0.2491	0.031434	0.92308	0.039681	0.079304	0.094153	0.077511	0.041806	0.10616	0.23889	0.81196	0.02933	0.62641	0.068734	0.032229	0.051539	0.054733
Meth__cg06194808__MGC9712	0.039015	0.030417	0.039933	0.047525	0.95859	0.040862	0.89272	0.036961	0.039881	0.59916	0.095047	0.1619	0.039735	0.048879	0.96215	0.046484	0.96763	0.050401	0.03651	0.060679	0.94484	0.20614	0.82698	0.038014	0.057174	0.089286	0.11732	0.11915	0.12042	0.92606	0.12147	0.035145	0.058457	0.070543	0.047601	0.035964	0.031224
Meth__cg00236832__RARA	0.081732	0.50951	0.89824	0.51977	0.83349	0.1464	0.57302	0.14225	0.1403	0.8733	0.11603	0.52255	0.1326	0.078936	0.83607	0.14994	0.61628	0.30545	0.29614	0.09471	0.76923	0.098862	0.69256	0.13552	0.42424	0.84963	0.16798	0.10046	0.11497	0.49823	0.42845	0.10782	0.085626	0.35289	0.34315	0.10724	0.13892
Meth__cg14992253__C1orf91	0.065568	0.16081	0.068528	0.12184	0.050964	0.057333	0.04886	0.084165	0.063892	0.065551	0.10085	0.092051	0.095256	0.049083	0.032673	0.11838	0.056932	0.048841	0.059475	0.069541	0.061318	0.13391	0.26929	0.13511	0.097137	0.12081	0.079481	0.073929	0.091228	0.056676	0.053392	0.041806	0.078492	0.16031	0.28818	0.064782	0.079977
Meth__cg25662535__ART5	0.05864	0.053529	0.25866	0.20637	0.56284	0.15088	0.54651	0.080136	0.052202	0.18371	0.065794	0.63093	0.077714	0.87493	0.57293	0.072796	0.45843	0.47961	0.080116	0.66194	0.19682	0.04792	0.6435	0.73927	0.080678	0.85587	0.11895	0.11665	0.15571	0.43086	0.41692	0.038725	0.5589	0.12231	0.047501	0.15265	0.16022
Meth__cg04431133__RPL36AL	0.48323	0.11297	0.6613	0.63956	0.076972	0.23737	0.046344	0.42133	0.093842	0.091454	0.4661	0.11714	0.5567	0.45396	0.03445	0.14345	0.146	0.1644	0.15069	0.15917	0.065587	0.91229	0.36532	0.59288	0.093647	0.089069	0.15133	0.89149	0.49265	0.043416	0.079593	0.43658	0.056756	0.66959	0.73282	0.37961	0.11711
Meth__cg00514407__SERPINE2	0.58217	0.033351	0.9435	0.63094	0.95539	0.8139	0.66957	0.048716	0.068034	0.45585	0.46366	0.91599	0.034898	0.88727	0.51229	0.10008	0.94061	0.19381	0.35856	0.7474	0.8438	0.63541	0.76788	0.058328	0.06514	0.28167	0.065276	0.14975	0.036565	0.21675	0.84293	0.032978	0.93854	0.12583	0.24051	0.29509	0.88356
Meth__cg11961618__PHLDA2	0.043776	0.042329	0.068625	0.056599	0.31789	0.053029	0.17973	0.045832	0.058852	0.75176	0.062098	0.096401	0.058278	0.061376	0.049603	0.12395	0.065844	0.04999	0.052776	0.12524	0.17244	0.045494	0.11629	0.056781	0.070582	0.095182	0.082847	0.063692	0.058214	0.047015	0.089817	0.04031	0.05121	0.060326	0.048775	0.045356	0.046246
Meth__cg18992688__AVPR1B	0.11084	0.050239	0.89851	0.52613	0.79974	0.77234	0.84798	0.045088	0.11804	0.77321	0.17385	0.86822	0.05385	0.79552	0.18285	0.16985	0.059799	0.70931	0.47976	0.59587	0.36429	0.75665	0.7129	0.13055	0.053008	0.61517	0.061016	0.049234	0.089084	0.38947	0.32968	0.049952	0.77751	0.14198	0.14907	0.22689	0.27168
Meth__cg17213552__DLAT	0.036392	0.053985	0.058085	0.06083	0.37854	0.041429	0.044812	0.17451	0.059436	0.12341	0.045533	0.27516	0.12795	0.08185	0.053742	0.047837	0.43491	0.029301	0.038068	0.050686	0.4431	0.032529	0.081647	0.038944	0.04662	0.068438	0.049148	0.034129	0.040961	0.050961	0.038832	0.027084	0.026331	0.044739	0.034173	0.032307	0.043247
Meth__cg25947945__LAD1	0.22739	0.030286	0.073749	0.038028	0.96948	0.31025	0.40688	0.030853	0.11937	0.032152	0.031983	0.14437	0.025891	0.54283	0.64768	0.085125	0.40016	0.16021	0.37178	0.45621	0.95712	0.13508	0.93954	0.10957	0.073698	0.44856	0.07709	0.86517	0.028813	0.95615	0.036808	0.059542	0.035017	0.09522	0.062686	0.21136	0.03996
Meth__cg08343834__PMP22	0.08464	0.089417	0.83099	0.38859	0.54362	0.12107	0.82086	0.11496	0.15478	0.52836	0.40228	0.72863	0.10486	0.72591	0.78516	0.13061	0.097708	0.18857	0.21744	0.11346	0.74188	0.095209	0.54875	0.1452	0.147	0.22438	0.095472	0.14707	0.64724	0.33634	0.40287	0.11717	0.25352	0.24518	0.13434	0.12557	0.12641
Meth__cg08586737__GCC1	0.22497	0.097887	0.47806	0.17627	0.51512	0.54257	0.72456	0.064887	0.088071	0.38198	0.30756	0.19653	0.083382	0.17716	0.15802	0.11888	0.26003	0.43161	0.095822	0.50358	0.39883	0.085537	0.70391	0.63229	0.14851	0.49682	0.13532	0.098214	0.26986	0.57096	0.16485	0.10376	0.19159	0.13078	0.15561	0.19024	0.27377
Meth__cg09147222__CPNE4	0.075089	0.069697	0.089547	0.35135	0.64448	0.11167	0.49353	0.12289	0.10121	0.68414	0.66482	0.11197	0.069452	0.090314	0.083746	0.28848	0.29636	0.097241	0.081117	0.088278	0.074645	0.043994	0.40612	0.066421	0.24438	0.84207	0.080193	0.045344	0.082081	0.42896	0.28317	0.10299	0.068467	0.17691	0.084156	0.076566	0.078249
Meth__cg02131399__LRP1	0.031678	0.033451	0.044336	0.050318	0.092076	0.047951	0.27619	0.029531	0.04739	0.041897	0.057896	0.25622	0.041204	0.047714	0.067364	0.055221	0.036021	0.029969	0.038781	0.043352	0.13514	0.030821	0.073629	0.034442	0.064463	0.12143	0.067229	0.032376	0.031543	0.036939	0.075099	0.032315	0.083423	0.061597	0.041885	0.043013	0.033584
Meth__cg12685753__TEKT1	0.070802	0.054663	0.44942	0.49705	0.89891	0.2017	0.41027	0.5825	0.13821	0.80118	0.4034	0.33898	0.39989	0.46884	0.12483	0.090134	0.036312	0.07449	0.1263	0.51615	0.17102	0.1594	0.6563	0.086073	0.15162	0.59434	0.15785	0.060512	0.041783	0.83396	0.55304	0.089455	0.27729	0.18082	0.091681	0.17144	0.084378
Meth__cg03963198__IRX4	0.042102	0.048821	0.064719	0.043255	0.96975	0.047011	0.96991	0.046755	0.049895	0.065877	0.43538	0.6935	0.054465	0.8032	0.13793	0.14051	0.32607	0.037552	0.044926	0.76374	0.46751	0.039105	0.92356	0.040259	0.065359	0.48755	0.084016	0.089288	0.040353	0.58481	0.03944	0.039851	0.17358	0.072323	0.058045	0.055202	0.053696
Meth__cg23896545__NOMO1	0.20598	0.036929	0.11218	0.11744	0.47584	0.20499	0.28084	0.079509	0.06887	0.13351	0.2819	0.29165	0.075314	0.077157	0.18302	0.098021	0.65698	0.085852	0.056839	0.41198	0.3337	0.29979	0.33266	0.056821	0.27573	0.18395	0.066045	0.038908	0.078277	0.50261	0.22777	0.18966	0.10173	0.10024	0.56321	0.11422	0.066225
Meth__cg11710000__FZD3	0.048597	0.038522	0.92243	0.1235	0.50649	0.060391	0.32948	0.072893	0.056448	0.12784	0.12351	0.11342	0.072792	0.43452	0.058706	0.1505	0.038755	0.045132	0.074286	0.28121	0.095468	0.041906	0.20046	0.092727	0.12962	0.15389	0.11766	0.035169	0.041233	0.19451	0.058073	0.056485	0.047204	0.069631	0.054904	0.04653	0.055704
Meth__cg01943185__NMU	0.069025	0.070517	0.84155	0.078391	0.56454	0.088361	0.38918	0.044322	0.068869	0.48607	0.10255	0.35338	0.057267	0.047291	0.068821	0.093509	0.3806	0.27961	0.19246	0.3001	0.43393	0.098743	0.11653	0.074722	0.056784	0.11291	0.10927	0.081554	0.043942	0.13448	0.16574	0.054279	0.18732	0.073356	0.062367	0.053995	0.055167
Meth__cg00247489__CR2	0.033014	0.040394	0.050226	0.037051	0.68663	0.51459	0.63859	0.024766	0.032683	0.49381	0.039196	0.17671	0.032356	0.71646	0.031371	0.051122	0.043415	0.25858	0.23036	0.093653	0.048814	0.023202	0.67417	0.028066	0.11634	0.71134	0.07141	0.029978	0.028856	0.046683	0.028122	0.033727	0.35461	0.053524	0.021581	0.020406	0.026084
Meth__cg02870945__REEP1	0.021888	0.027956	0.25028	0.027579	0.65465	0.030451	0.087008	0.027125	0.021208	0.46218	0.057462	0.098518	0.027262	0.31351	0.043067	0.06202	0.46782	0.023183	0.024049	0.090174	0.1736	0.046374	0.68671	0.020261	0.027954	0.035977	0.040657	0.033393	0.035222	0.052399	0.02048	0.028002	0.13288	0.084914	0.024142	0.032288	0.036513
Meth__cg21922841__SLC9A3R1	0.044974	0.018208	0.20621	0.02608	0.39734	0.06852	0.28439	0.028047	0.037116	0.085945	0.079541	0.079498	0.034164	0.094118	0.19259	0.042213	0.028081	0.10669	0.057086	0.49124	0.031565	0.11855	0.18491	0.069953	0.057045	0.178	0.027038	0.022754	0.03042	0.039804	0.04892	0.017868	0.037247	0.055263	0.018286	0.026066	0.026496
Meth__cg15916628__ZNF579	0.095861	0.053042	0.52897	0.25998	0.83925	0.11582	0.78023	0.12223	0.06546	0.6025	0.47647	0.4974	0.1257	0.65217	0.53378	0.20199	0.27212	0.36003	0.3678	0.39849	0.65202	0.088502	0.41145	0.32094	0.20163	0.51963	0.080961	0.058166	0.48489	0.075974	0.36066	0.068801	0.17208	0.12271	0.070472	0.074426	0.21342
Meth__cg21902544__CBLN2	0.04994	0.044655	0.92685	0.058018	0.57234	0.050874	0.42838	0.051365	0.073737	0.61121	0.082666	0.49094	0.06081	0.069343	0.45283	0.19436	0.23491	0.06511	0.069256	0.087225	0.62194	0.055467	0.81557	0.063611	0.094217	0.11893	0.082535	0.059989	0.050437	0.19354	0.055725	0.056938	0.89646	0.12185	0.50913	0.042952	0.045985
Meth__cg06110728__NELL2	0.064612	0.044152	0.053565	0.098365	0.47362	0.56305	0.3592	0.062757	0.068335	0.60621	0.43884	0.45239	0.079277	0.069219	0.11539	0.21797	0.36092	0.085679	0.052666	0.13197	0.058454	0.035267	0.5171	0.049122	0.20846	0.16766	0.091417	0.060146	0.035157	0.081041	0.060132	0.11761	0.06004	0.090971	0.061305	0.066498	0.056571
Meth__cg27504805__NPY2R	0.070495	0.047227	0.15659	0.099664	0.22545	0.58456	0.93622	0.049876	0.056904	0.6843	0.53058	0.35404	0.066186	0.71605	0.05093	0.059346	0.063194	0.054862	0.076393	0.071572	0.17145	0.041987	0.7685	0.058586	0.12892	0.53757	0.10284	0.052152	0.075888	0.1568	0.096793	0.048368	0.074979	0.075144	0.067147	0.056067	0.1478
Meth__cg24727182__AGXT2L1	0.013012	0.017431	0.020171	0.0169	0.59039	0.018859	0.072548	0.013547	0.016235	0.034436	0.013756	0.054329	0.016475	0.4632	0.013951	0.029797	0.36626	0.015635	0.01768	0.026166	0.028409	0.014522	0.63447	0.014029	0.02426	0.028502	0.025074	0.063387	0.015235	0.026164	0.01817	0.015341	0.03326	0.060164	0.014208	0.016754	0.01359
Meth__cg27285599__FLJ13841	0.056612	0.050539	0.62383	0.057414	0.90618	0.059638	0.88838	0.049905	0.062617	0.64787	0.1119	0.19066	0.051407	0.71732	0.8969	0.20849	0.90339	0.050433	0.059802	0.060611	0.88602	0.047621	0.89484	0.064811	0.10026	0.085314	0.09468	0.71524	0.47178	0.85135	0.057365	0.055101	0.11882	0.063553	0.061965	0.059326	0.11601
Meth__cg00513220__MOSC2	0.03051	0.626	0.85276	0.031575	0.78412	0.35869	0.55531	0.16853	0.14089	0.36735	0.057219	0.64128	0.15332	0.95724	0.29741	0.12406	0.35464	0.03248	0.039791	0.090206	0.69552	0.073015	0.0908	0.033435	0.074074	0.050426	0.43412	0.25392	0.065883	0.10969	0.30148	0.072283	0.42737	0.068304	0.039132	0.22937	0.27567
Meth__cg07378350__GDF5	0.54505	0.049725	0.94347	0.80505	0.92972	0.79963	0.82574	0.27155	0.069669	0.36406	0.49491	0.61789	0.24268	0.26573	0.73576	0.42381	0.4	0.17077	0.14908	0.61453	0.086694	0.1899	0.83013	0.17538	0.093576	0.22653	0.069715	0.071293	0.070783	0.87844	0.76155	0.052065	0.61665	0.075387	0.07062	0.059329	0.12474
Meth__cg01119135__C1orf116	0.036851	0.042178	0.94164	0.037065	0.37302	0.047518	0.044939	0.050966	0.068522	0.75932	0.032906	0.11608	0.054218	0.14737	0.64068	0.047992	0.20286	0.27997	0.17358	0.7835	0.088714	0.10491	0.86302	0.36442	0.056635	0.20802	0.096646	0.044097	0.037459	0.38237	0.15952	0.036644	0.057437	0.16414	0.04729	0.14094	0.13371
Meth__cg09558850__TFPI2	0.12293	0.22284	0.6713	0.43654	0.89089	0.12485	0.92975	0.065335	0.095058	0.88899	0.69737	0.85805	0.11426	0.8721	0.68112	0.13795	0.89413	0.1204	0.1046	0.35783	0.25607	0.15769	0.20803	0.15285	0.15364	0.6469	0.11449	0.12292	0.62121	0.90725	0.78237	0.11469	0.94325	0.71286	0.10849	0.18847	0.12928
Meth__cg12718440__C10orf83	0.070428	0.071226	0.11376	0.073556	0.62415	0.077099	0.046395	0.062352	0.052858	0.08284	0.046733	0.84986	0.078865	0.066446	0.077535	0.1394	0.13775	0.060195	0.051243	0.2451	0.10024	0.045365	0.22888	0.06506	0.082797	0.11169	0.092462	0.052143	0.066639	0.067189	0.13466	0.061298	0.049862	0.1027	0.05316	0.056531	0.062512
Meth__cg04388983__P2RY2	0.14557	0.057278	0.11754	0.042575	0.9494	0.13256	0.39442	0.061794	0.066231	0.85873	0.20275	0.12077	0.067568	0.085923	0.41023	0.10545	0.07997	0.054575	0.053425	0.11884	0.86588	0.044526	0.11598	0.086735	0.1464	0.15065	0.095495	0.10455	0.049822	0.91001	0.10889	0.048928	0.082451	0.21605	0.093489	0.092204	0.13243
Meth__cg13702536__GPR81	0.092228	0.087957	0.8184	0.062138	0.82742	0.13801	0.81674	0.1192	0.070814	0.24385	0.070679	0.2675	0.16459	0.60632	0.084418	0.31722	0.11922	0.060567	0.077254	0.098118	0.72925	0.069644	0.5199	0.068456	0.11718	0.17687	0.15856	0.14234	0.1138	0.417	0.074373	0.10752	0.71257	0.18123	0.073065	0.098016	0.074287
Meth__cg03883348__KLC3	0.043523	0.042558	0.30754	0.75109	0.72197	0.20696	0.13963	0.030603	0.24703	0.53574	0.14955	0.25453	0.061615	0.154	0.37459	0.11948	0.40407	0.23669	0.090816	0.11866	0.24171	0.046688	0.50006	0.49828	0.29818	0.10397	0.063822	0.073966	0.46028	0.12888	0.15675	0.13246	0.057385	0.041302	0.042099	0.2309	0.10165
Meth__cg24762359__ATP12A	0.043633	0.045777	0.064687	0.053002	0.79009	0.05965	0.065101	0.02265	0.051203	0.17341	0.087469	0.11009	0.047168	0.065885	0.17718	0.088496	0.067723	0.063903	0.045648	0.089839	0.07127	0.036964	0.71291	0.049236	0.11735	0.28779	0.07663	0.069001	0.088918	0.13563	0.095107	0.047	0.14606	0.10189	0.063937	0.044759	0.049915
Meth__cg09717545__KISS1R	0.13414	0.14981	0.95531	0.46507	0.30306	0.22449	0.68559	0.09701	0.15493	0.94985	0.15988	0.77231	0.11493	0.94259	0.13281	0.20515	0.44505	0.72296	0.22012	0.22793	0.94594	0.19202	0.88931	0.15292	0.092029	0.28545	0.20951	0.087722	0.13643	0.12287	0.37296	0.08803	0.68012	0.13199	0.09944	0.3763	0.10577
Meth__cg08097755__VGF	0.3521	0.045818	0.29816	0.19393	0.047634	0.62383	0.75837	0.099285	0.26886	0.097217	0.19269	0.56584	0.18332	0.11433	0.78402	0.27827	0.30145	0.046483	0.051988	0.058131	0.37559	0.20465	0.85333	0.66002	0.17376	0.49088	0.043653	0.039292	0.051993	0.13878	0.12112	0.66804	0.048334	0.097105	0.071214	0.18501	0.047869
Meth__cg13796218__C1orf187	0.076495	0.12985	0.903	0.062578	0.76554	0.10814	0.13256	0.046581	0.071535	0.63334	0.42168	0.73603	0.06983	0.81131	0.39231	0.47236	0.36818	0.17368	0.062633	0.057888	0.789	0.14385	0.75032	0.070556	0.099539	0.24095	0.061092	0.0981	0.062873	0.4469	0.080454	0.090659	0.74028	0.075167	0.082762	0.15279	0.18659
Meth__cg01968178__REEP1	0.035918	0.034781	0.32589	0.038688	0.17988	0.049902	0.1076	0.042859	0.05595	0.17338	0.06864	0.12855	0.049739	0.099982	0.089925	0.12993	0.047491	0.054623	0.045606	0.072723	0.1244	0.041694	0.59568	0.038283	0.085289	0.13097	0.05461	0.037492	0.073046	0.041651	0.030471	0.02979	0.080094	0.053427	0.037245	0.036759	0.038334
Meth__cg03085312__RARA	0.12641	0.44514	0.88711	0.65041	0.88194	0.29562	0.73935	0.057168	0.08177	0.88043	0.43142	0.54927	0.22996	0.070342	0.87011	0.16215	0.67973	0.49981	0.60369	0.045764	0.83616	0.2563	0.79649	0.08611	0.64066	0.84428	0.28449	0.068824	0.079587	0.4895	0.5516	0.16463	0.11208	0.049005	0.47687	0.12377	0.11122
Meth__cg02067021__DNAJC5B	0.028909	0.026682	0.40225	0.034316	0.41566	0.02546	0.91101	0.026228	0.21216	0.52697	0.82479	0.072321	0.02292	0.31178	0.37539	0.045791	0.88515	0.12727	0.093623	0.65658	0.90452	0.020805	0.9329	0.028769	0.095865	0.029474	0.036055	0.39376	0.13701	0.38071	0.019328	0.037123	0.035141	0.038767	0.065511	0.029191	0.025946
Meth__cg25645462__GPR56	0.032315	0.11772	0.59517	0.18713	0.85809	0.31494	0.0323	0.040305	0.16354	0.74852	0.08323	0.15472	0.042951	0.038279	0.89919	0.068697	0.74923	0.22163	0.33405	0.16063	0.87041	0.048384	0.84016	0.063938	0.10196	0.24329	0.053503	0.8668	0.031441	0.87854	0.048841	0.43746	0.040724	0.13328	0.073075	0.14001	0.2284
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.9036	0.37792	0.8788	0.45155	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.42919	0.16437	0.68549	0.14942	0.29603	0.15459	0.12561	0.26386	0.072957	0.10591	0.71347	0.35643	0.19423	0.089229	0.049258	0.16207	0.11802
Meth__cg04005707__FLJ21511	0.12982	0.043118	0.55118	0.35222	0.94222	0.52021	0.91594	0.032524	0.90249	0.9349	0.055657	0.90502	0.11329	0.83309	0.40982	0.066608	0.4111	0.94702	0.71636	0.53603	0.88855	0.33618	0.8918	0.58308	0.23063	0.50331	0.095736	0.049851	0.056325	0.38811	0.10674	0.038839	0.70901	0.098453	0.066271	0.62419	0.87034
Meth__cg24820809__MB	0.05712	0.047509	0.0881	0.07863	0.82648	0.060538	0.46469	0.065563	0.092446	0.76487	0.24261	0.15926	0.05893	0.086324	0.828	0.13099	0.87805	0.25277	0.51405	0.10787	0.85248	0.051076	0.83832	0.075061	0.068209	0.11121	0.17373	0.48991	0.46529	0.89296	0.3884	0.045737	0.055263	0.059827	0.068192	0.047792	0.048207
Meth__cg20053158__ASCL1	0.024471	0.029556	0.86241	0.028594	0.79897	0.9501	0.54026	0.018764	0.13417	0.5392	0.44728	0.6244	0.22311	0.033142	0.38499	0.04759	0.025454	0.096685	0.027263	0.052077	0.031728	0.03138	0.90807	0.35407	0.021651	0.91996	0.026482	0.033175	0.04463	0.51225	0.024106	0.024386	0.39919	0.072809	0.031811	0.026342	0.030248
Meth__cg12529801__PRO0149	0.029528	0.042743	0.13522	0.035783	0.88324	0.36897	0.04592	0.02717	0.02187	0.023709	0.035454	0.069167	0.031506	0.027884	0.041547	0.020552	0.031816	0.013935	0.020908	0.02503	0.040728	0.022717	0.19898	0.020155	0.023833	0.047948	0.041789	0.020279	0.021717	0.091529	0.023291	0.016421	0.037023	0.045782	0.020007	0.02195	0.02493
Meth__cg07651242__ADCY1	0.071494	0.08941	0.97928	0.40738	0.95759	0.63859	0.71682	0.046992	0.051525	0.96158	0.69387	0.93759	0.042351	0.13278	0.13112	0.25071	0.036514	0.10393	0.083799	0.050747	0.37022	0.10444	0.91898	0.74701	0.2085	0.94621	0.080799	0.045217	0.091909	0.19706	0.72913	0.58165	0.74066	0.075451	0.050236	0.085967	0.058507
Meth__cg08319404__THRB	0.087583	0.93083	0.12217	0.094969	0.93178	0.11568	0.06693	0.1021	0.14985	0.88923	0.16129	0.51522	0.10747	0.8376	0.28203	0.15423	0.85571	0.78312	0.10325	0.63993	0.80259	0.099616	0.72456	0.099191	0.14592	0.2286	0.52073	0.13963	0.14101	0.89209	0.34153	0.10175	0.11408	0.11762	0.099733	0.10234	0.13661
Meth__cg21481775__NKX3-1	0.043856	0.039125	0.051629	0.25453	0.67843	0.93062	0.89151	0.061327	0.1837	0.2918	0.064181	0.11223	0.095406	0.33776	0.10485	0.090817	0.17291	0.54236	0.15081	0.2734	0.31131	0.11558	0.21665	0.053634	0.074402	0.63409	0.061882	0.15659	0.045755	0.17936	0.13184	0.090204	0.76265	0.081572	0.065306	0.14481	0.25885
Meth__cg15164103__MEST	0.10477	0.061122	0.079719	0.10935	0.83768	0.32679	0.77847	0.089425	0.070967	0.7729	0.22371	0.18813	0.080125	0.48316	0.093475	0.086716	0.73864	0.069605	0.075672	0.6032	0.80676	0.044821	0.39966	0.082264	0.074784	0.13324	0.084048	0.85847	0.074231	0.16068	0.24663	0.062201	0.4498	0.49294	0.075451	0.06903	0.080966
Meth__cg24891133__FLJ14834	0.074616	0.020355	0.42933	0.25908	0.61114	0.65806	0.91216	0.023928	0.91239	0.95223	0.023076	0.37489	0.020014	0.61629	0.4037	0.061959	0.024246	0.78425	0.7095	0.95563	0.050173	0.53177	0.49897	0.86351	0.033887	0.80283	0.034795	0.01863	0.018953	0.055841	0.60859	0.023614	0.47313	0.050931	0.025819	0.17143	0.17611
Meth__cg03139057__DLL3	0.023566	0.016275	0.45102	0.053216	0.87786	0.14077	0.92098	0.080528	0.041389	0.63066	0.59284	0.66999	0.052819	0.79745	0.50525	0.062588	0.064459	0.16224	0.2523	0.59361	0.94119	0.027521	0.87085	0.060748	0.071511	0.072545	0.020128	0.81329	0.04417	0.058207	0.14191	0.019963	0.76187	0.045556	0.028345	0.025753	0.25695
Meth__cg07214572__LHX9	0.11074	0.016044	0.32647	0.37053	0.9041	0.58639	0.96433	0.028251	0.04192	0.90993	0.024131	0.65435	0.024459	0.83189	0.030244	0.036828	0.063651	0.23125	0.34794	0.79438	0.92551	0.85707	0.59701	0.4538	0.028063	0.56151	0.032519	0.036896	0.024328	0.042036	0.28307	0.025104	0.14604	0.12567	0.14515	0.62927	0.32465
Meth__cg03149130__DIRAS2	0.17811	0.066291	0.54033	0.14005	0.79865	0.18749	0.42084	0.33848	0.43701	0.58066	0.10693	0.81794	0.29976	0.21759	0.22389	0.14356	0.03599	0.13327	0.076487	0.4967	0.13116	0.10234	0.75859	0.073855	0.12558	0.29553	0.21727	0.051256	0.10154	0.11066	0.83942	0.085007	0.78904	0.057035	0.068299	0.33257	0.282
Meth__cg11115427__PHYH	0.058683	0.051412	0.46199	0.28891	0.41661	0.24816	0.18162	0.038555	0.060056	0.22801	0.47229	0.20066	0.049537	0.43934	0.1406	0.099289	0.076025	0.16163	0.18093	0.3035	0.169	0.13769	0.18916	0.14221	0.053805	0.36458	0.16467	0.033849	0.29227	0.074325	0.23271	0.048824	0.04716	0.083269	0.033531	0.084219	0.057425
Meth__cg08319238__BCAM	0.056104	0.053329	0.094745	0.068419	0.55518	0.11159	0.33788	0.064018	0.092411	0.08676	0.13938	0.34313	0.082265	0.085406	0.083086	0.075845	0.080342	0.073298	0.11052	0.062138	0.13897	0.10486	0.11928	0.060368	0.15003	0.25572	0.077698	0.19057	0.061581	0.50018	0.046037	0.088168	0.050623	0.059366	0.094739	0.061989	0.059193
Meth__cg10331779__CTNND2	0.06659	0.099316	0.89384	0.18014	0.87058	0.10481	0.51129	0.2058	0.37628	0.89389	0.74006	0.7559	0.18171	0.22118	0.21994	0.4923	0.11046	0.060726	0.06099	0.13607	0.15546	0.16091	0.74478	0.12159	0.11257	0.092438	0.070883	0.047044	0.14561	0.5667	0.27284	0.44711	0.40548	0.34419	0.044982	0.24823	0.10544
Meth__cg23695504__FLJ45717	0.077657	0.13375	0.9031	0.12718	0.59112	0.24785	0.1335	0.052357	0.23863	0.15698	0.11839	0.21568	0.049347	0.56948	0.078192	0.1128	0.086228	0.065107	0.11115	0.077663	0.11727	0.055187	0.23228	0.11511	0.10348	0.11777	0.091077	0.043231	0.048171	0.34086	0.14826	0.048741	0.045742	0.15409	0.057795	0.35642	0.58776
Meth__cg05337441__APOB	0.063603	0.030815	0.09165	0.30368	0.08168	0.11445	0.10999	0.033676	0.045242	0.36328	0.27217	0.32117	0.043726	0.11891	0.3442	0.047721	0.033098	0.040326	0.041781	0.63009	0.15179	0.098845	0.11382	0.046236	0.055731	0.11928	0.045032	0.052087	0.035091	0.035148	0.1219	0.036821	0.088126	0.089299	0.042382	0.039527	0.043158
Meth__cg14304761__SYK	0.054101	0.042049	0.05653	0.054236	0.95004	0.05121	0.034211	0.034097	0.057074	0.57596	0.064816	0.079291	0.042559	0.041746	0.33969	0.13637	0.35845	0.034742	0.051587	0.59105	0.27005	0.037294	0.9102	0.062816	0.10195	0.77165	0.090157	0.048499	0.05212	0.80499	0.16042	0.036578	0.03449	0.0625	0.058519	0.053061	0.051302
Meth__cg07665060__C19orf33	0.32515	0.05151	0.95752	0.20478	0.94207	0.14397	0.63742	0.90236	0.91242	0.94627	0.082497	0.39291	0.83931	0.86601	0.96715	0.73605	0.94632	0.040952	0.030675	0.038753	0.96065	0.030799	0.07358	0.93584	0.041275	0.95227	0.052091	0.63912	0.033814	0.021959	0.87736	0.88671	0.03132	0.050633	0.036176	0.86245	0.90554
Meth__cg12379775__LOC284739	0.038318	0.17606	0.69252	0.030781	0.91262	0.029098	0.025901	0.016339	0.034562	0.76141	0.16723	0.37711	0.016394	0.82612	0.12017	0.040558	0.040036	0.11433	0.13197	0.026806	0.96605	0.024887	0.89495	0.019316	0.04239	0.089805	0.0345	0.02222	0.099072	0.52765	0.1637	0.021481	0.037212	0.065443	0.026538	0.022424	0.029065
Meth__cg07640473__SEMA3F	0.026867	0.025677	0.88506	0.040579	0.8	0.048008	0.85396	0.03167	0.049449	0.97912	0.12626	0.08538	0.037801	0.53039	0.030363	0.048484	0.25015	0.045507	0.058389	0.057597	0.75673	0.025232	0.9603	0.037097	0.10301	0.060152	0.08906	0.60151	0.58203	0.765	0.034869	0.043344	0.048554	0.18153	0.028054	0.032835	0.050105
