Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg03168582__DMRT1	0.98579	0.016823	0.21206	0.65902	0.97659	0.98775	0.059725	0.036713	0.015259	0.043789	0.63041	0.057578	0.90647	0.26717	0.022027	0.50788	0.21912	0.028658	0.013205	0.98999	0.98491	0.95502	0.057128	0.76467	0.81531	0.027772	0.027457	0.078168	0.96845	0.027424	0.03187	0.019083	0.38085	0.067916	0.086943	0.95405	0.41517	0.73041	0.46002	0.91337
U133A__CLIC3	4.5666	8.3548	6.491	6.4612	3.6425	6.6116	3.7317	6.5625	4.1162	9.4396	3.2494	7.3005	3.2852	3.8082	7.8558	3.5136	3.8325	4.8032	3.4001	4.7747	7.6637	4.0788	3.6152	7.5984	3.714	6.3844	4.7366	3.0339	7.8342	4.5989	6.9665	3.6517	3.9377	4.0323	7.4723	4.2879	9.4402	9.412	5.9785	6.9891
Meth__cg01437411__ATN1	0.24294	0.20949	0.61202	0.55208	0.21421	0.53664	0.16744	0.29446	0.094225	0.30899	0.032166	0.17033	0.67576	0.17507	0.15518	0.12493	0.13705	0.1597	0.044494	0.31951	0.63497	0.55034	0.1277	0.25604	0.085985	0.71026	0.26763	0.13698	0.13082	0.52307	0.57682	0.03832	0.059741	0.059684	0.38905	0.66095	0.079473	0.14546	0.10251	0.066446
Meth__cg02676865__UBTD1	0.071118	0.89832	0.96518	0.82476	0.041939	0.85065	0.11162	0.67022	0.067923	0.69974	0.077852	0.0956	0.18566	0.067766	0.080167	0.079763	0.057481	0.096762	0.039126	0.96045	0.9357	0.94871	0.072519	0.82364	0.65784	0.93217	0.099961	0.048505	0.13725	0.060676	0.93632	0.51974	0.044783	0.049362	0.077008	0.94575	0.056561	0.078638	0.25741	0.94383
Meth__cg26366091__CHI3L2	0.11997	0.1181	0.82538	0.85301	0.58066	0.6766	0.64912	0.66206	0.15017	0.78447	0.15538	0.092481	0.21476	0.23633	0.13057	0.10375	0.029111	0.10985	0.15361	0.86075	0.87699	0.8948	0.32774	0.69396	0.8636	0.48284	0.6345	0.10907	0.77473	0.095689	0.15469	0.1068	0.1046	0.11267	0.82439	0.31266	0.21918	0.73033	0.71054	0.74038
Meth__cg15182360__PCDH20	0.059401	0.056993	0.080845	0.084398	0.86733	0.067436	0.43942	0.080093	0.16287	0.094394	0.2909	0.085648	0.34605	0.083738	0.11356	0.063759	0.63286	0.11861	0.070033	0.069841	0.13666	0.11073	0.16912	0.050146	0.12882	0.078431	0.11842	0.072914	0.12769	0.16677	0.079328	0.16829	0.067919	0.12504	0.67964	0.10591	0.28497	0.055772	0.074242	0.088437
Meth__cg13765785__SCN3B	0.89892	0.12824	0.61181	0.098868	0.82963	0.82203	0.056813	0.53261	0.42545	0.121	0.73936	0.17129	0.17427	0.091211	0.33211	0.11728	0.45274	0.1343	0.25719	0.87833	0.88038	0.40906	0.15386	0.096199	0.80561	0.81554	0.18991	0.10472	0.49012	0.1392	0.15432	0.10611	0.12599	0.17136	0.10558	0.090089	0.5102	0.11201	0.25977	0.11249
Meth__cg08056146__SOX7	0.89398	0.23643	0.65105	0.17343	0.89943	0.97038	0.44568	0.083296	0.024424	0.14337	0.62864	0.045337	0.93106	0.51354	0.066663	0.56007	0.028877	0.092923	0.15546	0.97623	0.95465	0.067744	0.040623	0.96713	0.9327	0.91788	0.087733	0.60378	0.91658	0.04089	0.1332	0.040554	0.027685	0.031104	0.72079	0.91664	0.86888	0.96465	0.90127	0.95223
Meth__cg01366419__WBSCR17	0.90713	0.071024	0.70332	0.13147	0.86784	0.91447	0.39715	0.31599	0.16588	0.18844	0.90784	0.91588	0.76383	0.1762	0.15135	0.09319	0.2676	0.10506	0.23683	0.60662	0.63264	0.64387	0.087669	0.88982	0.82392	0.30958	0.19256	0.084638	0.84544	0.45637	0.17254	0.06493	0.11895	0.19991	0.036089	0.60128	0.092315	0.85456	0.31035	0.25617
U133A__HLA-F	7.3246	7.1514	7.6905	9.2785	7.8591	7.9913	9.4618	8.793	10.7475	8.2523	9.6511	10.4241	8.8233	8.6658	6.5921	8.7351	9.7487	10.5898	8.0524	7.2474	7.8303	8.8431	10.4878	7.9252	7.8877	8.5341	8.7941	8.1935	7.2825	11.0349	6.829	8.7181	8.5194	9.0699	8.8619	8.1545	8.6017	8.9212	7.4898	7.3955
Meth__cg10845200__DRD1IP	0.11088	0.027938	0.04583	0.056463	0.41884	0.33121	0.20343	0.039156	0.018677	0.022774	0.21037	0.27157	0.55289	0.0546	0.022635	0.027297	0.024561	0.047803	0.02032	0.52126	0.39267	0.049667	0.023729	0.31508	0.52679	0.040309	0.17341	0.026235	0.92104	0.10171	0.03231	0.02201	0.023177	0.028837	0.026534	0.43238	0.081277	0.21449	0.024749	0.040572
Meth__cg26764244__GNG12	0.037866	0.040108	0.59947	0.46989	0.032806	0.088375	0.085106	0.042641	0.035789	0.08716	0.048465	0.096899	0.090844	0.044356	0.032729	0.037783	0.037869	0.081509	0.029208	0.066362	0.079158	0.48546	0.05431	0.076032	0.1076	0.19268	0.085366	0.030353	0.076466	0.052702	0.051719	0.035439	0.043165	0.052185	0.87819	0.036163	0.26385	0.072664	0.057651	0.083127
Meth__cg06349174__STIM1	0.019734	0.37041	0.69131	0.31359	0.030983	0.19821	0.034752	0.02791	0.35734	0.13535	0.021781	0.037322	0.04645	0.021856	0.33389	0.022376	0.015461	0.049315	0.021909	0.72641	0.56527	0.043015	0.090729	0.1374	0.38558	0.049154	0.030979	0.019419	0.050583	0.02217	0.15333	0.020163	0.017402	0.021068	0.038658	0.015442	0.043257	0.066351	0.055365	0.070419
Meth__cg22889448__EMR1	0.15658	0.0815	0.46728	0.10172	0.077471	0.17238	0.1838	0.85497	0.064704	0.10746	0.093557	0.3285	0.48162	0.076829	0.07674	0.37262	0.24796	0.081442	0.081274	0.12371	0.17574	0.23575	0.20249	0.29782	0.081218	0.089414	0.10162	0.091943	0.10584	0.093689	0.11374	0.083968	0.078177	0.095814	0.11594	0.088272	0.23799	0.097588	0.15957	0.0981
Meth__cg23150219__C19orf26	0.045665	0.047177	0.0463	0.037232	0.031148	0.045169	0.027081	0.032942	0.042356	0.036326	0.069988	0.023804	0.08236	0.021854	0.031234	0.029832	0.027525	0.066156	0.022183	0.042563	0.052596	0.038202	0.040444	0.023139	0.079524	0.034485	0.14666	0.029396	0.096072	0.04096	0.065321	0.025235	0.44111	0.02676	0.03307	0.020576	0.097324	0.051719	0.036506	0.059701
U133A__EEF1A2	8.4199	11.0325	8.8277	10.4452	4.9698	10.4219	9.4631	6.4697	4.4425	9.7461	5.8255	8.1497	9.2164	10.1473	4.9156	5.5593	9.1134	5.8471	8.9212	10.5813	11.7994	9.6918	9.0784	9.8087	8.0866	10.3513	8.6957	7.2926	10.0605	4.5298	7.2008	5.2855	9.4882	6.2216	8.1734	6.2512	9.1884	8.4557	10.671	11.6249
Meth__cg05938285__PIGZ	0.069624	0.090049	0.11732	0.064649	0.047111	0.085994	0.045175	0.094848	0.065203	0.070727	0.067924	0.065716	0.15632	0.043869	0.083333	0.059496	0.10388	0.13423	0.049324	0.040595	0.12767	0.05125	0.0673	0.46446	0.13922	0.08424	0.074652	0.05451	0.19569	0.096152	0.13832	0.048064	0.048614	0.041853	0.035942	0.038862	0.19633	0.058827	0.059031	0.060113
Meth__cg11248491__PSCD3	0.042708	0.018383	0.38364	0.17574	0.046197	0.033892	0.13684	0.054076	0.029423	0.14726	0.039878	0.020138	0.078379	0.023795	0.036249	0.031882	0.06093	0.054524	0.022016	0.04583	0.061583	0.43586	0.037086	0.092898	0.076891	0.056884	0.037412	0.024253	0.10844	0.036462	0.073163	0.13691	0.03646	0.032454	0.024131	0.01923	0.095045	0.042663	0.11399	0.051073
U133A__SOX4	8.6674	8.3533	8.8828	9.8978	8.4109	8.7923	6.0416	8.9581	8.341	8.2131	6.6364	8.3375	7.9094	7.8736	7.8327	9.3505	7.6446	8.6075	5.5588	6.2454	8.2679	9.9401	7.7534	7.66	5.2287	9.3267	7.9694	6.1302	7.8062	9.1933	7.3642	3.5447	7.8776	6.2548	8.5307	6.0618	7.4115	9.15	9.1511	8.6423
Meth__cg07637239__KCNK18	0.89531	0.027951	0.88551	0.83159	0.12817	0.64108	0.11634	0.53946	0.42794	0.45269	0.63835	0.41311	0.24382	0.034483	0.37585	0.3801	0.85057	0.073238	0.037095	0.81849	0.79132	0.090987	0.053188	0.94385	0.10905	0.53359	0.051062	0.33539	0.41076	0.063855	0.10317	0.049801	0.3717	0.036266	0.36402	0.068764	0.18325	0.88663	0.48895	0.70708
Meth__cg09600437__REL	0.066118	0.063376	0.067915	0.049104	0.052003	0.062633	0.046879	0.060062	0.062723	0.07132	0.061311	0.064852	0.10822	0.043124	0.074717	0.058581	0.046577	0.058902	0.054601	0.043259	0.045819	0.6381	0.046539	0.048436	0.16277	0.056399	0.10053	0.045589	0.18619	0.0516	0.070489	0.050764	0.041328	0.060734	0.057588	0.050655	0.13737	0.058058	0.054831	0.046038
Meth__cg22775000__TMEFF1	0.97093	0.05175	0.80554	0.8692	0.086228	0.9667	0.14681	0.24948	0.01772	0.76783	0.027192	0.54182	0.93548	0.44636	0.11334	0.062483	0.021191	0.22327	0.25444	0.79107	0.27803	0.9719	0.01985	0.90779	0.39338	0.046953	0.083996	0.035502	0.14753	0.25608	0.35156	0.018723	0.058075	0.45251	0.41604	0.95621	0.91364	0.93126	0.90202	0.7497
Meth__cg26153631__HOXC10	0.88131	0.49295	0.068084	0.057038	0.56454	0.84419	0.063304	0.045672	0.081877	0.66734	0.05077	0.066536	0.098613	0.053757	0.084538	0.078652	0.06812	0.11583	0.04842	0.64213	0.82415	0.57624	0.14885	0.068371	0.75414	0.0633	0.11023	0.53161	0.086966	0.067817	0.58863	0.060863	0.05879	0.095573	0.054528	0.054012	0.10793	0.069346	0.054539	0.056827
Meth__cg15322932__ALDH3B1	0.070643	0.055235	0.080148	0.068713	0.056896	0.10724	0.058256	0.56489	0.058659	0.068564	0.060384	0.075435	0.084298	0.057017	0.064851	0.05523	0.06236	0.10263	0.051806	0.071197	0.095269	0.070935	0.072874	0.057555	0.091903	0.073472	0.1496	0.055896	0.097401	0.066974	0.11335	0.053803	0.055953	0.045043	0.062283	0.080077	0.16122	0.073146	0.070903	0.10256
Meth__cg05839235__NPR3	0.94423	0.69438	0.18726	0.18034	0.9	0.51399	0.65977	0.074024	0.074166	0.36121	0.41251	0.52018	0.48438	0.074671	0.056807	0.9577	0.044466	0.10347	0.39893	0.97492	0.96997	0.90099	0.10205	0.80975	0.93935	0.11051	0.35804	0.49009	0.88617	0.17293	0.48394	0.062261	0.037313	0.52794	0.049904	0.59615	0.58132	0.099142	0.5614	0.81469
U133A__SERPINE2	4.1494	4.4242	4.9022	4.2554	9.6075	4.4355	7.5807	6.6807	6.0426	3.9813	8.4672	4.2132	7.2359	4.7087	4.2348	6.9187	8.2237	4.4336	10.6755	4.6808	4.5754	4.2682	9.6812	3.944	6.4409	6.9121	5.0607	10.279	4.343	5.3284	4.6083	5.8042	7.156	4.8219	4.8116	4.627	3.9897	4.2821	4.3236	4.6368
Meth__cg22467216__TUBB6	0.044662	0.040105	0.083212	0.048984	0.039423	0.054145	0.035372	0.045136	0.024916	0.035359	0.049295	0.072705	0.13579	0.035302	0.041877	0.037947	0.036468	0.10661	0.027252	0.025599	0.051784	0.047628	0.042666	0.035025	0.10816	0.039139	0.17708	0.044303	0.47225	0.03533	0.08259	0.024187	0.027607	0.034372	0.031239	0.04724	0.085355	0.0419	0.039889	0.041318
Meth__cg15422147__SERPINB5	0.054537	0.0473	0.76303	0.078002	0.58027	0.077766	0.9401	0.05117	0.12879	0.061192	0.09273	0.10731	0.11171	0.09009	0.12495	0.059804	0.31165	0.063549	0.26346	0.11744	0.08399	0.074009	0.60836	0.084229	0.44061	0.12943	0.040707	0.86329	0.11624	0.10364	0.071891	0.2008	0.053099	0.078602	0.32078	0.097321	0.12366	0.070696	0.1497	0.12382
Meth__cg15134628__MAPK12	0.092935	0.26078	0.075926	0.18331	0.047721	0.067444	0.029555	0.16453	0.048253	0.063685	0.065937	0.16213	0.79897	0.057928	0.069098	0.93067	0.092073	0.13954	0.039485	0.38843	0.65937	0.15473	0.51104	0.057199	0.11521	0.071042	0.10322	0.052285	0.20457	0.10059	0.28467	0.0623	0.042557	0.046279	0.08023	0.045148	0.13573	0.06581	0.05025	0.081243
Meth__cg02962602__CCDC57	0.039412	0.33963	0.97733	0.29721	0.039151	0.12063	0.063778	0.034062	0.038641	0.43224	0.039941	0.15559	0.085305	0.97541	0.078243	0.10746	0.027292	0.048233	0.036214	0.15856	0.065926	0.16435	0.032682	0.13351	0.064432	0.83438	0.057143	0.053166	0.068971	0.059162	0.66927	0.030487	0.021795	0.038228	0.9352	0.04214	0.053906	0.05065	0.37911	0.042132
Meth__cg08370996__NR2F2	0.038144	0.042334	0.040629	0.040253	0.039677	0.047484	0.035675	0.60583	0.056139	0.072606	0.037973	0.057803	0.097394	0.033193	0.063189	0.039504	0.03228	0.084593	0.038942	0.041264	0.036481	0.040634	0.041808	0.040388	0.060223	0.041396	0.070981	0.045735	0.15464	0.069771	0.057057	0.033919	0.036841	0.037307	0.032328	0.032502	0.085226	0.043514	0.039684	0.037238
Meth__cg12733079__ZNF277	0.057821	0.035625	0.050646	0.069294	0.056118	0.069671	0.086157	0.10218	0.039298	0.054691	0.044134	0.13321	0.18911	0.037868	0.045321	0.048661	0.047387	0.10094	0.041498	0.063616	0.058926	0.46144	0.049607	0.11296	0.10261	0.065283	0.060265	0.042975	0.073296	0.067939	0.075632	0.054658	0.05148	0.044782	0.19257	0.049252	0.081547	0.080989	0.065974	0.080195
Meth__cg12688215__KTI12	0.019587	0.024734	0.02813	0.025028	0.02301	0.028729	0.028394	0.042441	0.018244	0.02275	0.022713	0.020673	0.053487	0.017283	0.021311	0.028899	0.032352	0.05116	0.015054	0.01682	0.026229	0.026531	0.029401	0.1076	0.037361	0.027862	0.068994	0.020996	0.052587	0.024922	0.049593	0.021786	0.019745	0.019879	0.023713	0.014985	0.42791	0.027938	0.032125	0.025002
U133A__GNG12	7.5942	7.7849	6.4664	6.5978	9.7447	5.7435	8.5615	7.6541	6.3405	6.7824	8.0676	8.0184	7.7945	6.6779	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	6.9607	8.6305	6.6815	9.2273	6.8388	8.3046	8.7035	7.625	8.6723	7.4958	9.7275	8.1413	9.2598	7.333	8.3668	6.9594	7.5017	6.9873	7.0425
Meth__cg07872652__CNIH2	0.11246	0.11742	0.090942	0.068616	0.088866	0.081363	0.081315	0.083948	0.058783	0.10788	0.091944	0.69163	0.72727	0.97579	0.055992	0.072072	0.073184	0.13595	0.050787	0.83856	0.39876	0.12689	0.074314	0.12508	0.50716	0.39189	0.11901	0.079379	0.15755	0.13638	0.18605	0.063286	0.041526	0.10596	0.061914	0.076108	0.11855	0.13248	0.12748	0.12359
Meth__cg09903430__ST3GAL3	0.040159	0.03659	0.069402	0.034032	0.038991	0.061026	0.06943	0.15427	0.04293	0.055826	0.040857	0.20621	0.12715	0.050886	0.049613	0.042703	0.035958	0.07089	0.032996	0.052267	0.056344	0.079691	0.10878	0.213	0.11413	0.12139	0.4365	0.040773	0.097434	0.04902	0.068913	0.03757	0.031924	0.04297	0.045723	0.032039	0.15316	0.10648	0.040219	0.038513
Meth__cg14960043__DEF6	0.064346	0.043366	0.073623	0.044446	0.89669	0.054076	0.074568	0.056538	0.050954	0.050344	0.059843	0.051182	0.1571	0.65644	0.054779	0.038202	0.068	0.105	0.43454	0.049449	0.051741	0.060505	0.90621	0.043143	0.37501	0.047611	0.099575	0.88821	0.11147	0.83317	0.060897	0.3945	0.037286	0.27582	0.04196	0.072965	0.064604	0.63018	0.054353	0.073745
Meth__cg06777274__ME2	0.05548	0.079919	0.17786	0.17367	0.050628	0.1184	0.29379	0.093204	0.047711	0.077168	0.048356	0.070268	0.075102	0.039005	0.053227	0.058787	0.062069	0.099777	0.047872	0.09915	0.087223	0.096783	0.067185	0.1155	0.12939	0.16707	0.10133	0.053248	0.097755	0.047945	0.27123	0.054252	0.046292	0.04584	0.5111	0.059403	0.10523	0.059986	0.050919	0.078329
Meth__cg11503011__EBF	0.43255	0.12608	0.52755	0.11872	0.11646	0.13705	0.31385	0.70878	0.18492	0.18503	0.1433	0.10399	0.17091	0.13838	0.19921	0.28647	0.19811	0.19726	0.23043	0.20634	0.31805	0.17156	0.12153	0.15144	0.56351	0.38205	0.21012	0.10481	0.69204	0.15919	0.22551	0.083273	0.21596	0.16425	0.11064	0.11326	0.20584	0.19887	0.14967	0.11487
Meth__cg26235710__FLJ38984	0.054406	0.60571	0.071858	0.058976	0.053608	0.059163	0.065771	0.052217	0.045642	0.087592	0.048193	0.1651	0.17502	0.033643	0.052933	0.091902	0.064878	0.10544	0.039015	0.084287	0.068945	0.05881	0.051232	0.057304	0.49721	0.057208	0.11963	0.047047	0.12635	0.058306	0.13583	0.041019	0.046944	0.072458	0.56808	0.048344	0.18459	0.066004	0.065385	0.09995
Meth__cg03289872__ZNF667	0.94389	0.041867	0.90315	0.027271	0.016565	0.92709	0.40821	0.49939	0.021979	0.92602	0.048038	0.076653	0.90945	0.48181	0.20341	0.053988	0.020615	0.14214	0.13388	0.73242	0.90972	0.47119	0.019784	0.023711	0.83436	0.24297	0.088418	0.027027	0.70931	0.034976	0.31653	0.026463	0.4036	0.42331	0.36915	0.66551	0.066995	0.88613	0.84158	0.62071
Meth__cg08348496__HAPLN3	0.94355	0.047727	0.95838	0.96418	0.2441	0.92347	0.16947	0.57276	0.031471	0.96594	0.49632	0.070914	0.90846	0.078794	0.047239	0.06531	0.098274	0.54987	0.028731	0.9715	0.96468	0.34358	0.6252	0.53432	0.059889	0.94869	0.075652	0.32564	0.91954	0.28386	0.038635	0.067618	0.024429	0.027285	0.48028	0.77042	0.8686	0.96568	0.94271	0.90152
U133A__HLA-A	8.0974	8.8736	8.5163	10.7117	9.7239	9.7457	11.3892	9.4951	12.2717	9.7102	11.5521	11.8036	10.7823	10.1571	7.1064	9.4021	11.8918	12.5168	9.9359	8.3049	9.564	10.5659	12.2646	9.1662	10.1682	10.4276	11.0959	10.2081	9.1221	12.5362	7.8025	10.0395	10.3257	10.9361	11.3302	9.1377	9.4396	11.037	8.5489	8.5052
Meth__cg14008119__MGC16028	0.044214	0.041645	0.075579	0.059908	0.040601	0.055878	0.033411	0.095429	0.058763	0.070629	0.049941	0.12598	0.089231	0.02516	0.05171	0.04577	0.036793	0.10085	0.037531	0.055745	0.23037	0.069223	0.047503	0.050794	0.12386	0.052011	0.098772	0.043906	0.084074	0.044459	0.054819	0.035634	0.039106	0.03574	0.72437	0.037953	0.050225	0.043234	0.044346	0.06013
Meth__cg02326006__ARHGEF9	0.073573	0.033698	0.046584	0.062715	0.057084	0.094787	0.11111	0.25701	0.031615	0.045833	0.064445	0.43278	0.099773	0.039983	0.035616	0.22584	0.0334	0.10882	0.048738	0.0587	0.054488	0.27453	0.033957	0.042906	0.14227	0.050881	0.047297	0.045305	0.14261	0.037216	0.11665	0.04518	0.044308	0.031819	0.052557	0.074517	0.12974	0.047282	0.044712	0.072129
U133A__EMP3	4.327	3.9888	4.2731	4.2246	9.9908	4.5129	8.8964	5.9249	4.5177	4.8069	4.4271	4.4585	4.1728	4.8826	4.8236	4.8179	9.0618	5.7623	10.2742	4.4979	4.6047	4.5679	9.169	4.2846	9.3624	4.4717	4.519	8.4939	4.3967	4.1517	4.5344	9.6246	8.36	9.3993	5.4208	4.3907	4.6524	4.1567	4.2003	4.5004
Meth__cg17398312__FRMPD4	0.9677	0.022062	0.22951	0.046295	0.97629	0.96382	0.062421	0.92486	0.099241	0.026541	0.88594	0.97378	0.87181	0.034329	0.41697	0.19622	0.062622	0.27324	0.094964	0.65945	0.54956	0.66576	0.060434	0.97318	0.91684	0.31975	0.11577	0.026869	0.94793	0.52752	0.036491	0.024208	0.93941	0.28358	0.1833	0.87711	0.060824	0.61751	0.44059	0.076017
Meth__cg26258845__ADAM23	0.042969	0.031229	0.052715	0.046709	0.086374	0.22343	0.032605	0.066163	0.031453	0.51646	0.040316	0.060309	0.2118	0.058625	0.20264	0.048104	0.041342	0.1501	0.08381	0.60452	0.49433	0.3452	0.034887	0.030347	0.61573	0.73239	0.36252	0.04546	0.84669	0.11345	0.075245	0.027685	0.030288	0.027451	0.040725	0.47339	0.093071	0.058718	0.10324	0.055966
Meth__cg02633817__FXYD3	0.10541	0.075244	0.090704	0.077682	0.19723	0.092865	0.84816	0.057599	0.5028	0.066457	0.87835	0.09057	0.078194	0.037933	0.50062	0.15298	0.81893	0.076626	0.071565	0.059768	0.10185	0.1057	0.93413	0.067147	0.55273	0.087961	0.09061	0.89869	0.12634	0.13985	0.15708	0.56874	0.061429	0.90469	0.10321	0.098254	0.1141	0.098319	0.081073	0.092869
Meth__cg20159072__SLC25A20	0.023208	0.97096	0.37872	0.022165	0.01555	0.020388	0.034433	0.036217	0.017607	0.020027	0.017291	0.028196	0.020668	0.013851	0.017433	0.014395	0.016741	0.061008	0.012253	0.013574	0.024205	0.020666	0.024377	0.018566	0.024096	0.41906	0.031671	0.010493	0.035199	0.016633	0.97454	0.022701	0.01886	0.014746	0.019866	0.018033	0.059543	0.015459	0.019767	0.019709
Meth__cg04733388__UBE1DC1	0.075317	0.051554	0.10023	0.49806	0.050019	0.063641	0.084421	0.046631	0.072448	0.10293	0.054842	0.062565	0.10762	0.026311	0.073962	0.065415	0.041479	0.0671	0.041658	0.65048	0.3613	0.55599	0.094518	0.32599	0.12123	0.25529	0.0875	0.046289	0.11468	0.051941	0.15921	0.03337	0.037602	0.048948	0.94096	0.038481	0.10352	0.062175	0.57072	0.68825
Meth__cg16523424__TIMP1	0.1493	0.040275	0.32885	0.055145	0.047555	0.23748	0.095958	0.06765	0.040139	0.044866	0.054881	0.14177	0.086689	0.045369	0.044404	0.14249	0.049469	0.15741	0.045459	0.04027	0.05987	0.2159	0.04178	0.29016	0.13876	0.21291	0.060713	0.038893	0.31999	0.04649	0.37129	0.040895	0.041518	0.036713	0.32296	0.1195	0.061725	0.11783	0.15374	0.092786
Meth__cg06123346__ATP4A	0.072149	0.042943	0.57984	0.37544	0.08304	0.096061	0.10458	0.4533	0.037512	0.13282	0.20349	0.57916	0.12375	0.021091	0.049899	0.41215	0.15139	0.054883	0.044314	0.4666	0.24426	0.36028	0.11383	0.38825	0.09273	0.089856	0.10716	0.1593	0.069293	0.092651	0.10134	0.093641	0.053729	0.054402	0.093918	0.12284	0.12559	0.11846	0.097931	0.063226
Meth__cg06747888__TBR1	0.34451	0.14694	0.11045	0.068479	0.91287	0.10154	0.65566	0.91489	0.30024	0.086213	0.87401	0.8873	0.92516	0.093604	0.21282	0.89441	0.69516	0.29074	0.8852	0.073411	0.084	0.36592	0.89432	0.17871	0.80047	0.066035	0.10285	0.9492	0.1454	0.88725	0.13495	0.93282	0.15766	0.90857	0.62492	0.53994	0.13363	0.11234	0.38505	0.16266
Meth__cg26535072__APBA1	0.07811	0.25744	0.13754	0.12622	0.19572	0.26775	0.10158	0.042872	0.044396	0.071526	0.050727	0.1849	0.50763	0.11754	0.066861	0.10886	0.042214	0.11554	0.053401	0.072294	0.10057	0.36079	0.057685	0.15532	0.12814	0.076421	0.12636	0.079762	0.33735	0.09869	0.25687	0.077043	0.069989	0.30112	0.076073	0.6467	0.20357	0.35334	0.088728	0.053156
Meth__cg10541755__EIF5A2	0.65877	0.68829	0.82091	0.57554	0.045486	0.94564	0.11604	0.74079	0.099487	0.055826	0.37656	0.26218	0.92862	0.78157	0.42621	0.27817	0.045576	0.1688	0.046512	0.90882	0.45554	0.9583	0.067737	0.55376	0.11467	0.88709	0.10956	0.044021	0.8227	0.27163	0.46127	0.059665	0.0528	0.055668	0.15426	0.93955	0.70477	0.70474	0.55335	0.60877
Meth__cg11099291__MGC14376	0.05425	0.057116	0.055255	0.053604	0.060314	0.057211	0.05062	0.35971	0.052465	0.50821	0.050657	0.092744	0.083581	0.044359	0.063946	0.060361	0.044055	0.14632	0.056002	0.052788	0.051662	0.055422	0.053563	0.045676	0.073957	0.05136	0.098414	0.046388	0.10737	0.05908	0.099214	0.054751	0.059776	0.070642	0.054849	0.047255	0.2054	0.073825	0.05789	0.058338
Meth__cg19935424__MXRA7	0.034447	0.67842	0.52425	0.38351	0.034599	0.32718	0.020861	0.077287	0.037654	0.034167	0.044617	0.12481	0.70357	0.093179	0.072206	0.038719	0.032396	0.047776	0.041192	0.63075	0.58701	0.40961	0.023585	0.18908	0.056026	0.60286	0.065054	0.047733	0.25887	0.062967	0.66159	0.02874	0.033449	0.025459	0.66568	0.55291	0.21357	0.3251	0.41945	0.36943
Meth__cg14634738__RBM5	0.033819	0.023841	0.070757	0.048522	0.22929	0.13956	0.15511	0.10385	0.039927	0.05024	0.032271	0.067947	0.20907	0.024667	0.046312	0.03705	0.032408	0.048684	0.029414	0.06323	0.081876	0.055408	0.045207	0.046203	0.14447	0.03215	0.15388	0.050333	0.086004	0.03987	0.058013	0.027056	0.044663	0.048437	0.0663	0.043157	0.073194	0.41622	0.049704	0.14544
Meth__cg14473016__RASD2	0.027961	0.41038	0.9362	0.94147	0.73597	0.47817	0.048495	0.048689	0.066335	0.90576	0.067189	0.14903	0.88424	0.055897	0.054791	0.44868	0.037816	0.10922	0.044405	0.9058	0.91145	0.20848	0.44323	0.047411	0.070807	0.89961	0.053556	0.080485	0.47883	0.89944	0.4491	0.046666	0.030039	0.049372	0.24465	0.031595	0.21596	0.41352	0.061024	0.44149
Meth__cg14254419__AMPD2	0.43774	0.17211	0.96701	0.52026	0.074084	0.2628	0.055298	0.05511	0.063082	0.57005	0.02999	0.082871	0.12608	0.5676	0.11204	0.080195	0.032375	0.12427	0.028114	0.27378	0.45468	0.40117	0.24181	0.80343	0.11875	0.71904	0.25297	0.071159	0.11465	0.090274	0.1975	0.28294	0.028963	0.035991	0.45808	0.041953	0.14974	0.39675	0.30417	0.22509
Meth__cg20430816__GENX-3414	0.052681	0.046878	0.065164	0.04544	0.042723	0.053695	0.042599	0.22506	0.031429	0.047122	0.038027	0.081762	0.064143	0.044404	0.053236	0.036481	0.044567	0.061421	0.033629	0.032035	0.042745	0.18379	0.042386	0.040666	0.068514	0.061372	0.084208	0.037432	0.35739	0.044655	0.13581	0.039769	0.039908	0.036988	0.2018	0.044301	0.050005	0.041361	0.077145	0.051038
Meth__cg24935900__RAB11FIP5	0.038853	0.12509	0.26176	0.19187	0.043076	0.094744	0.057786	0.082207	0.042554	0.14409	0.048883	0.090157	0.10622	0.055566	0.071501	0.043114	0.039311	0.089675	0.036519	0.084173	0.085477	0.39798	0.046597	0.048117	0.099118	0.088152	0.098831	0.044245	0.09776	0.094162	0.18534	0.040524	0.045064	0.042035	0.45824	0.10086	0.14953	0.090265	0.12478	0.096064
Meth__cg07602200__P2RX7	0.078026	0.32182	0.94594	0.88335	0.64226	0.1684	0.29783	0.11229	0.065236	0.93884	0.39121	0.12187	0.71363	0.094814	0.061961	0.27533	0.73246	0.20923	0.055628	0.95215	0.94057	0.7505	0.18997	0.89189	0.43207	0.9078	0.061715	0.3089	0.75777	0.080126	0.29371	0.40647	0.09254	0.051747	0.71123	0.6944	0.35026	0.90944	0.78889	0.84394
